Unnamed: 0,caseid,act,index,last,next,if_para,start_timestamp,end_timestamp,resource,activity,res,wait,process
1,1,Start,1,None,2,0,,,Start,Start,Start,0,0
2,1,19,2,1,3,0,,,Turning,Turning,ID3846,35,18651
3,1,19,3,2,4,0,,,Turning,Turning,ID4442,477,679
4,1,2,4,3,5,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,17340,16016
5,1,11,5,4,6,0,,,Packing,Packing,ID4291,15421,3282
6,1,2,6,5,7,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,1739874,7528
7,1,End,7,6,None,0,,,End,End,End,0,0
10,2,Start,10,None,"(11, 12)",0,,,Start,Start,Start,0,0
11,2,13,11,10,13,1,,,Round Grinding,Round Grinding,ID4385,10275,8098
12,2,13,12,10,13,1,,,Round Grinding,Round Grinding,ID4160,137,2974
13,2,2,13,"(11, 12)",14,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,30768,3888
14,2,2,14,13,15,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,40655,4242
15,2,11,15,14,16,0,,,Packing,Packing,ID4291,42151,3616
16,2,End,16,15,None,0,,,End,End,End,0,0
19,3,Start,19,None,20,0,,,Start,Start,Start,0,0
20,3,19,20,19,21,0,,,Turning,Turning,ID0997,65,992
21,3,19,21,20,22,0,,,Turning,Turning,ID4641,25855,20783
22,3,20,22,21,"(23, 24)",0,,,Turning & Milling,Turning & Milling,ID4529,314,14071
23,3,20,23,22,25,1,,,Turning & Milling,Turning & Milling,ID4718,14,2657
24,3,20,24,22,25,1,,,Turning & Milling,Turning & Milling,ID4794,21126,17093
25,3,20,25,"(23, 24)",26,0,,,Turning & Milling,Turning & Milling,ID4219,9148,17809
26,3,7,26,25,27,0,,,Laser Marking,Laser Marking,ID4872,211928,32
27,3,6,27,26,28,0,,,Lapping,Lapping,ID0420,30693,2774
28,3,13,28,27,29,0,,,Round Grinding,Round Grinding,ID4872,1081,40818
29,3,13,29,28,30,0,,,Round Grinding,Round Grinding,ID4163,37012,56
30,3,13,30,29,31,0,,,Round Grinding,Round Grinding,ID4355,24994,7172
31,3,6,31,30,"(32, 33, 35, 36)",0,,,Lapping,Lapping,ID4445,6513,2025
32,3,2,32,31,37,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,145483,1233
33,3,2,33,31,34,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,476,90
34,3,13,34,33,37,1,,,Round Grinding,Round Grinding,ID4618,353,2270
35,3,13,35,31,37,1,,,Round Grinding,Round Grinding,ID4385,181,3404
36,3,13,36,31,37,1,,,Round Grinding,Round Grinding,ID4287,1291,2490
37,3,2,37,"(32, 34, 35, 36)",38,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,82852,5179
38,3,End,38,37,None,0,,,End,End,End,0,0
41,4,Start,41,None,42,0,,,Start,Start,Start,0,0
42,4,20,42,41,43,0,,,Turning & Milling,Turning & Milling,ID3846,1307,29173
43,4,20,43,42,44,0,,,Turning & Milling,Turning & Milling,ID4132,152349,1373
44,4,20,44,43,45,0,,,Turning & Milling,Turning & Milling,ID4932,940,11708
45,4,20,45,44,46,0,,,Turning & Milling,Turning & Milling,ID4167,58,18457
46,4,20,46,45,47,0,,,Turning & Milling,Turning & Milling,ID4219,3231,26377
47,4,20,47,46,48,0,,,Turning & Milling,Turning & Milling,ID4794,164,33362
48,4,20,48,47,49,0,,,Turning & Milling,Turning & Milling,ID4132,5471,35209
49,4,21,49,48,50,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,14409,13508
50,4,21,50,49,"(51, 52)",0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,173320,4223
51,4,6,51,50,53,1,,,Lapping,Lapping,ID4882,79142,4868
52,4,7,52,50,53,1,,,Laser Marking,Laser Marking,ID0998,13097,3511
53,4,2,53,"(51, 52)","(54, 56)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,52074,2361
54,4,2,54,53,55,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,9304,6762
55,4,2,55,54,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,27561,2367
56,4,2,56,53,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,49809,6519
57,4,11,57,"(55, 56)",58,0,,,Packing,Packing,ID4820,28210,3370
58,4,End,58,57,None,0,,,End,End,End,0,0
61,5,Start,61,None,62,0,,,Start,Start,Start,0,0
62,5,19,62,61,"(63, 64)",0,,,Turning,Turning,ID4641,743,13994
63,5,19,63,62,66,1,,,Turning,Turning,ID0997,11,15203
64,5,19,64,62,65,1,,,Turning,Turning,ID4219,37397,15989
65,5,19,65,64,66,1,,,Turning,Turning,ID4132,13186,11534
66,5,19,66,"(63, 65)",67,0,,,Turning,Turning,ID4799,49421,21502
67,5,19,67,66,68,0,,,Turning,Turning,ID4429,11476,2427
68,5,19,68,67,69,0,,,Turning,Turning,ID4219,25759,5317
69,5,19,69,68,70,0,,,Turning,Turning,ID0997,874,23270
70,5,19,70,69,71,0,,,Turning,Turning,ID4219,1640,4530
71,5,19,71,70,72,0,,,Turning,Turning,ID4932,54893,32539
72,5,19,72,71,"(73, 75)",0,,,Turning,Turning,ID4140,5831,37732
73,5,19,73,72,74,1,,,Turning,Turning,ID3846,10777,41719
74,5,19,74,73,77,1,,,Turning,Turning,ID3846,2562,21675
75,5,19,75,72,76,1,,,Turning,Turning,ID4219,87849,176
76,5,19,76,75,77,1,,,Turning,Turning,ID4219,14378,15285
77,5,19,77,"(74, 76)",78,0,,,Turning,Turning,ID0997,62,9192
78,5,22,78,77,"(79, 80)",0,,,Turning Q.C.,Turning Q.C.,ID4618,132433,1120
79,5,19,79,78,81,1,,,Turning,Turning,ID0937,278,9742
80,5,19,80,78,81,1,,,Turning,Turning,ID0997,211,10603
81,5,19,81,"(79, 80)",82,0,,,Turning,Turning,ID4219,169456,237
82,5,22,82,81,83,0,,,Turning Q.C.,Turning Q.C.,ID4618,4032,6414
83,5,22,83,82,84,0,,,Turning Q.C.,Turning Q.C.,ID4287,1497,2112
84,5,19,84,83,85,0,,,Turning,Turning,ID4622,328,4887
85,5,19,85,84,86,0,,,Turning,Turning,ID4219,3522,6822
86,5,11,86,85,87,0,,,Packing,Packing,ID4820,195493,3780
87,5,2,87,86,"(88, 89)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,2149,4224
88,5,19,88,87,90,1,,,Turning,Turning,ID4132,16978,7521
89,5,19,89,87,90,1,,,Turning,Turning,ID0997,157,43218
90,5,19,90,"(88, 89)",91,0,,,Turning,Turning,ID4219,930,20588
91,5,19,91,90,92,0,,,Turning,Turning,ID4132,53781,23209
92,5,19,92,91,93,0,,,Turning,Turning,ID3846,0,16998
93,5,19,93,92,94,0,,,Turning,Turning,ID3846,1555,5375
94,5,19,94,93,95,0,,,Turning,Turning,ID4641,12,2020
95,5,19,95,94,96,0,,,Turning,Turning,ID4799,719,10853
96,5,19,96,95,97,0,,,Turning,Turning,ID3846,392,26890
97,5,End,97,96,None,0,,,End,End,End,0,0
