caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Traer informacion estudiante - banner,res_9154c38d-8202-4938-8491-a4c99df052d3,Role 1,2016-02-02 14:01:17,42,0,2016-02-02 14:00:48
Case1,Radicar Solicitud Homologacion,res_4860cb03-a33a-4df4-a219-e31bae9a47ad,Role 1,2016-02-02 14:08:25,42,0,2016-02-02 14:01:28
Case2,Traer informacion estudiante - banner,res_40b7d41e-029f-4fe1-a1bb-9fce96e85e52,Role 1,2016-02-02 14:30:58,43,0,2016-02-02 14:30:29
Case2,Radicar Solicitud Homologacion,res_e3765479-dba7-46b4-9407-a73cc15e27b6,Role 1,2016-02-02 14:38:10,43,0,2016-02-02 14:31:09
Case1,Validar solicitud,res_55bf0d4c-c5db-420a-b3e7-a57ef3ff6b45,Role 1,2016-02-02 16:59:41,43,0,2016-02-02 16:13:36
Case2,Validar solicitud,res_55bf0d4c-c5db-420a-b3e7-a57ef3ff6b45,Role 1,2016-02-02 17:40:32,43,1,2016-02-02 16:46:22
Case3,Traer informacion estudiante - banner,res_f3f21a12-fd7f-4fca-869a-3a99616c04de,Role 1,2016-02-02 17:45:36,44,0,2016-02-02 17:45:08
Case3,Radicar Solicitud Homologacion,res_98c769df-1847-4490-bb91-89196f151aa1,Role 1,2016-02-02 17:53:00,44,0,2016-02-02 17:45:47
Case4,Traer informacion estudiante - banner,res_cd330ecd-1139-4c79-81de-39b62b7ec20f,Role 1,2016-02-02 19:02:07,45,0,2016-02-02 19:01:39
Case4,Radicar Solicitud Homologacion,res_e6ebf83c-02e7-4e96-9aaf-50871febe606,Role 1,2016-02-02 19:09:37,45,0,2016-02-02 19:02:18
Case5,Cancelar Solicitud,res_c068b6ea-b11a-4f2d-9f9b-e4414a946edc,Role 1,2016-02-02 19:34:48,46,0,2016-02-02 19:34:28
Case5,Notificacion estudiante cancelacion soli,res_3a7851ba-7f5b-4688-8e2c-910d48c4d29f,Role 1,2016-02-02 19:38:02,46,0,2016-02-02 19:34:59
Case3,Validar solicitud,res_fd1af010-cc98-4c9e-8b8c-f1313ac2b5e9,Role 1,2016-02-02 20:52:19,45,0,2016-02-02 20:04:35
Case6,Radicar Solicitud Homologacion,res_cfc0ef10-3120-4eca-bc68-07ac73af3d52,Role 1,2016-02-02 21:07:50,46,0,2016-02-02 21:07:21
Case6,Cancelar Solicitud,res_d5ba3eae-1944-4a60-83e3-b74aa24b90c3,Role 1,2016-02-02 21:13:45,46,0,2016-02-02 21:08:01
Case7,Traer informacion estudiante - banner,res_52637a66-7cb2-4077-beee-16fb5f37b8bd,Role 1,2016-02-02 22:37:12,47,0,2016-02-02 22:36:45
Case7,Radicar Solicitud Homologacion,res_d6f3b255-8de9-4f86-b2f6-7d23b7cbaf97,Role 1,2016-02-02 22:44:58,47,0,2016-02-02 22:37:23
Case4,Cancelar Solicitud,res_e6ebf83c-02e7-4e96-9aaf-50871febe606,Role 1,2016-02-02 23:52:11,47,0,2016-02-02 23:51:15
Case8,Traer informacion estudiante - banner,res_2a7fead8-28f0-4695-b7f4-c36e2f8ceb4b,Role 1,2016-02-03 00:07:54,48,0,2016-02-03 00:07:26
Case8,Radicar Solicitud Homologacion,res_278a45a8-860f-4107-b9db-f6d037f790af,Role 1,2016-02-03 00:13:32,48,0,2016-02-03 00:08:05
Case9,Traer informacion estudiante - banner,res_10d340cf-311b-497d-a439-df31fb75cfa6,Role 1,2016-02-03 02:39:27,49,0,2016-02-03 02:39:00
Case8,Notificacion estudiante cancelacion soli,res_33777998-d786-488a-bc8e-3cfb4ed7ba91,Role 1,2016-02-03 02:39:52,49,0,2016-02-03 02:39:38
Case9,Radicar Solicitud Homologacion,res_33777998-d786-488a-bc8e-3cfb4ed7ba91,Role 1,2016-02-03 02:45:05,49,0,2016-02-03 02:39:38
Case7,Cancelar Solicitud,res_d65a8373-aa5f-46c6-8693-9b8bc92bd138,Role 1,2016-02-03 03:32:34,49,0,2016-02-03 03:32:00
Case10,Traer informacion estudiante - banner,res_c5ea3efc-d0fe-4e2d-ad58-c88ef6091ecd,Role 1,2016-02-03 03:50:19,50,0,2016-02-03 03:49:53
Case10,Radicar Solicitud Homologacion,res_4d18362e-f7e7-4022-8e6f-36a585c5c4f6,Role 1,2016-02-03 03:55:59,50,0,2016-02-03 03:50:30
Case9,Validar solicitud,res_4d18362e-f7e7-4022-8e6f-36a585c5c4f6,Role 1,2016-02-03 04:13:37,50,0,2016-02-03 03:53:35
Case6,Notificacion estudiante cancelacion soli,res_94924ebc-99b6-494c-98dc-f6a2e0080bbd,Role 1,2016-02-03 04:32:55,50,0,2016-02-03 04:32:55
Case11,Traer informacion estudiante - banner,res_626c6c12-b620-4f3f-a530-36dd73d9865d,Role 1,2016-02-03 05:48:12,50,0,2016-02-03 05:47:47
Case11,Radicar Solicitud Homologacion,res_393cf08e-fd17-43cb-b27c-41801b111927,Role 1,2016-02-03 05:53:50,50,0,2016-02-03 05:48:23
Case10,Notificacion estudiante cancelacion soli,res_c89bf2e5-5ff6-4e15-aa19-278c2a34dfa2,Role 1,2016-02-03 06:21:19,50,0,2016-02-03 06:21:19
Case11,Traer informacion estudiante - banner,res_0e34733f-eb69-4650-b1ec-29093f214e28,Role 1,2016-02-03 07:02:32,49,0,2016-02-03 07:01:30
Case12,Traer informacion estudiante - banner,res_57094481-a9ac-4119-a4d8-b49febebaf4a,Role 1,2016-02-03 07:34:23,50,0,2016-02-03 07:33:58
Case12,Radicar Solicitud Homologacion,res_046a4bab-9d0c-49b5-ae37-5d6ae5998108,Role 1,2016-02-03 07:40:01,50,0,2016-02-03 07:34:34
Case8,Traer informacion estudiante - banner,res_1f50a539-d8b5-4c70-b31b-287f974ada07,Role 1,2016-02-03 08:26:20,50,0,2016-02-03 08:26:20
Case13,Traer informacion estudiante - banner,res_53fb25e3-114d-4353-8080-c4e4ce821905,Role 1,2016-02-03 08:38:04,51,0,2016-02-03 08:37:40
Case13,Radicar Solicitud Homologacion,res_ea880914-fe8d-4cf0-b80f-663848432d94,Role 1,2016-02-03 08:43:42,51,0,2016-02-03 08:38:15
Case9,Homologacion por grupo de cursos,res_0d9bdb8b-673e-4e60-b71b-a209fff45bb7,Role 1,2016-02-03 08:45:27,51,1,2016-02-03 08:45:20
Case1,Homologacion por grupo de cursos,res_4085ccba-088e-46ff-82f2-390ccd7b790b,Role 1,2016-02-03 08:52:56,51,0,2016-02-03 08:41:42
Case12,Validar solicitud,res_31511e3a-0b9a-427f-b556-c1aa255a9ffb,Role 1,2016-02-03 09:07:24,51,0,2016-02-03 08:48:20
Case3,Recepcion de documentos,res_31511e3a-0b9a-427f-b556-c1aa255a9ffb,Role 2,2016-02-03 09:13:04,51,0,2016-02-03 09:02:57
Case13,Validar solicitud,res_00947c9b-00aa-4b4b-9863-2c01a61e7147,Role 1,2016-02-03 10:10:54,51,0,2016-02-03 09:52:09
Case14,Validar solicitud,res_e9d1bc29-981c-4f56-af1f-045ad6d1851a,Role 1,2016-02-03 11:33:21,52,0,2016-02-03 11:32:46
Case14,Homologacion por grupo de cursos,res_cd330ecd-1139-4c79-81de-39b62b7ec20f,Role 1,2016-02-03 11:35:32,52,0,2016-02-03 11:33:32
Case11,Radicar Solicitud Homologacion,res_a31f377f-9a90-4045-be29-edba07d6021a,Role 1,2016-02-03 11:46:17,51,0,2016-02-03 11:46:17
Case12,Homologacion por grupo de cursos,res_ea880914-fe8d-4cf0-b80f-663848432d94,Role 1,2016-02-03 12:35:29,51,0,2016-02-03 12:35:29
Case15,Traer informacion estudiante - banner,res_dca9cfb9-7b9c-4edb-acff-19afa774957d,Role 1,2016-02-03 13:13:01,51,0,2016-02-03 13:12:38
Case2,Cancelar Solicitud,res_e846aaf0-534b-4e9a-a32d-eaee4bd7a312,Role 1,2016-02-03 13:17:14,51,0,2016-02-03 13:16:34
Case15,Radicar Solicitud Homologacion,res_e846aaf0-534b-4e9a-a32d-eaee4bd7a312,Role 1,2016-02-03 13:18:40,51,0,2016-02-03 13:13:12
Case9,Revisar curso,res_d6fa8618-37a1-461a-b55e-4f3e29df0c60,Role 1,2016-02-03 13:24:52,51,0,2016-02-03 13:21:55
Case8,Radicar Solicitud Homologacion,res_4fa302c1-db8a-46ec-a466-0f21d3239ea9,Role 1,2016-02-03 13:48:26,51,0,2016-02-03 13:48:26
Case15,Validar solicitud,res_a47f5dba-7a14-4105-bb5d-19e8bc75c461,Role 1,2016-02-03 14:45:09,51,0,2016-02-03 14:26:50
Case13,Traer informacion estudiante - banner,res_3575b2d4-0084-4935-be4e-83ee456993a0,Role 1,2016-02-03 14:50:45,51,0,2016-02-03 14:50:45
Case16,Traer informacion estudiante - banner,res_58ecb86c-c959-4dd8-91d8-e6cd0045b976,Role 1,2016-02-03 14:58:53,52,0,2016-02-03 14:58:31
Case16,Radicar Solicitud Homologacion,res_b49a8470-fec3-4c28-b862-28176bfdfe11,Role 1,2016-02-03 15:04:33,52,0,2016-02-03 14:59:04
Case17,Radicar Solicitud Homologacion,res_720bf724-d44e-4760-8b2d-b7afca204d7d,Role 1,2016-02-03 16:05:36,53,0,2016-02-03 16:05:13
Case17,Validar solicitud,res_d20ad8bf-b620-4853-bc24-a6f6880cd202,Role 1,2016-02-03 16:25:38,53,0,2016-02-03 16:05:47
Case9,Evaluacion curso,res_10d340cf-311b-497d-a439-df31fb75cfa6,Role 1,2016-02-03 16:28:50,53,0,2016-02-03 16:28:50
Case11,Homologacion por grupo de cursos,res_12ea8615-e08b-4dab-891b-7036cc62e3a3,Role 1,2016-02-03 16:34:33,53,0,2016-02-03 16:34:33
Case16,Validar solicitud,res_12ea8615-e08b-4dab-891b-7036cc62e3a3,Role 1,2016-02-03 16:35:54,53,1,2016-02-03 16:12:35
Case8,Cancelar Solicitud,res_91256ffd-066a-44ac-86f9-617f5cf6c9e3,Role 1,2016-02-03 16:47:24,53,0,2016-02-03 16:47:24
Case18,Traer informacion estudiante - banner,res_1cccc445-783b-48ea-af84-b8b6c9aeca88,Role 1,2016-02-03 17:14:10,54,0,2016-02-03 17:13:48
Case18,Radicar Solicitud Homologacion,res_226016ed-277c-45f9-acde-77c1d97674cd,Role 1,2016-02-03 17:19:52,54,0,2016-02-03 17:14:21
Case17,Homologacion por grupo de cursos,res_25d752f6-4898-4267-b51d-e84ecc2e9589,Role 1,2016-02-03 17:45:05,54,0,2016-02-03 17:43:56
Case19,Traer informacion estudiante - banner,res_28279ca9-21e5-419f-adda-28241de9b1b4,Role 1,2016-02-03 18:28:16,54,0,2016-02-03 18:27:54
Case19,Radicar Solicitud Homologacion,res_1cccc445-783b-48ea-af84-b8b6c9aeca88,Role 1,2016-02-03 18:33:59,54,0,2016-02-03 18:28:27
Case20,Traer informacion estudiante - banner,res_e0bf72f8-7ca9-4060-b07c-37b4bb4c69dd,Role 1,2016-02-03 18:39:02,55,0,2016-02-03 18:38:40
Case20,Radicar Solicitud Homologacion,res_58ecb86c-c959-4dd8-91d8-e6cd0045b976,Role 1,2016-02-03 18:44:45,55,0,2016-02-03 18:39:13
Case11,Revisar curso,res_95705a19-e2da-4a36-84e9-634b6545c70f,Role 1,2016-02-03 18:57:39,55,0,2016-02-03 18:52:15
Case15,Homologacion por grupo de cursos,res_5d352f50-56c1-4ee3-8ed2-8d7c0d610f19,Role 1,2016-02-03 19:16:42,55,0,2016-02-03 19:16:42
Case13,Radicar Solicitud Homologacion,res_444637cf-24f6-4ebe-a06e-b2dc757e73d3,Role 1,2016-02-03 19:35:32,54,0,2016-02-03 19:35:32
Case18,Notificacion estudiante cancelacion soli,res_3ebb51f2-1a53-4bae-be97-e555ddf8cb9f,Role 1,2016-02-03 19:44:12,54,0,2016-02-03 19:44:12
Case21,Validar solicitud,res_e95cd9c6-16a5-4785-af43-a1ed9691ae0c,Role 1,2016-02-03 19:59:00,54,2,2016-02-03 19:58:13
Case21,Homologacion por grupo de cursos,res_775814f5-213e-4a7b-b783-a301b7a27c43,Role 1,2016-02-03 20:00:52,54,0,2016-02-03 19:59:11
Case19,Validar solicitud,res_775814f5-213e-4a7b-b783-a301b7a27c43,Role 1,2016-02-03 20:01:06,54,0,2016-02-03 19:42:35
Case8,Notificacion estudiante cancelacion soli,res_bbf03425-259e-4217-a10c-67b26576ba6d,Role 1,2016-02-03 20:13:47,54,0,2016-02-03 20:13:47
Case4,Revisar curso,res_bbf03425-259e-4217-a10c-67b26576ba6d,Role 1,2016-02-03 20:13:55,53,0,2016-02-03 19:47:05
Case21,Cancelar curso,res_0690eadb-bf30-465f-ae46-d9438e263435,Role 1,2016-02-03 20:16:42,53,0,2016-02-03 20:16:31
Case20,Validar solicitud,res_0690eadb-bf30-465f-ae46-d9438e263435,Role 1,2016-02-03 20:17:09,53,1,2016-02-03 19:53:40
Case9,Validar solicitud / pre-homologacion,res_67ca00c6-8bd5-488e-8562-2e3d3b671660,Role 1,2016-02-03 21:01:09,53,0,2016-02-03 21:01:09
Case22,Traer informacion estudiante - banner,res_67ca00c6-8bd5-488e-8562-2e3d3b671660,Role 1,2016-02-03 21:01:18,53,0,2016-02-03 21:00:57
Case22,Radicar Solicitud Homologacion,res_e312c263-a52a-4620-bf8e-b5e9d0d44cb9,Role 1,2016-02-03 21:07:03,53,0,2016-02-03 21:01:29
Case16,Homologacion por grupo de cursos,res_de355708-5d8d-4885-9404-8ddc13611bc9,Role 1,2016-02-03 21:07:07,53,0,2016-02-03 21:07:07
Case11,Evaluacion curso,res_9633fbd4-ee1b-41fc-a296-80c278cac50f,Role 1,2016-02-03 21:29:51,52,0,2016-02-03 21:28:33
Case23,Traer informacion estudiante - banner,res_855437c5-a5f8-42e4-a07b-6c8c34987790,Role 1,2016-02-03 21:56:13,53,0,2016-02-03 21:55:52
Case23,Radicar Solicitud Homologacion,res_aaf0b121-5961-49df-99a2-07c93327016f,Role 1,2016-02-03 22:01:59,53,0,2016-02-03 21:56:24
Case13,Notificacion estudiante cancelacion soli,res_e0bf72f8-7ca9-4060-b07c-37b4bb4c69dd,Role 1,2016-02-03 22:24:42,53,0,2016-02-03 22:24:42
Case24,Traer informacion estudiante - banner,res_ac8b986c-6b86-4433-8df2-b673fb85feb9,Role 1,2016-02-03 23:20:18,53,0,2016-02-03 23:19:58
Case22,Cancelar Solicitud,res_669603e0-ef09-43ce-a46c-7898b64d574b,Role 1,2016-02-03 23:24:26,53,0,2016-02-03 23:24:26
Case24,Radicar Solicitud Homologacion,res_669603e0-ef09-43ce-a46c-7898b64d574b,Role 1,2016-02-03 23:26:06,53,0,2016-02-03 23:20:29
Case23,Validar solicitud,res_669603e0-ef09-43ce-a46c-7898b64d574b,Role 1,2016-02-03 23:28:52,52,0,2016-02-03 23:10:16
Case7,Notificacion estudiante cancelacion soli,res_56e8a27e-4948-4ace-b002-f115c92c3b47,Role 1,2016-02-03 23:36:46,53,0,2016-02-03 23:36:46
Case19,Homologacion por grupo de cursos,res_de355708-5d8d-4885-9404-8ddc13611bc9,Role 1,2016-02-04 00:33:45,52,0,2016-02-04 00:33:45
Case11,Validacion final,res_e58cd977-acbe-47ec-a2e9-c73d862034d9,Role 1,2016-02-04 00:35:26,51,0,2016-02-04 00:34:29
Case24,Traer informacion estudiante - banner,res_56e8a27e-4948-4ace-b002-f115c92c3b47,Role 1,2016-02-04 00:36:03,51,0,2016-02-04 00:35:46
Case20,Homologacion por grupo de cursos,res_f2b5840b-de52-4272-8fc4-772d5058ff81,Role 1,2016-02-04 00:49:43,51,0,2016-02-04 00:49:43
