caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-02 07:13:26,2,0,2012-01-02 07:03:18
Case2,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-02 08:58:55,3,0,2012-01-02 08:47:01
Case3,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-02 09:25:04,4,0,2012-01-02 09:11:20
Case1,Packing,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 2,2012-01-02 10:46:28,4,0,2012-01-02 10:26:39
Case2,Lapping,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 8,2012-01-02 12:49:27,3,0,2012-01-02 12:29:30
Case4,Setup,res_48c69a5f-03d2-41e0-a484-cfc1bd7c180c,Role 1,2012-01-02 12:59:25,4,0,2012-01-02 12:44:49
Case3,Turning,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 1,2012-01-02 13:35:55,4,0,2012-01-02 13:12:53
Case5,Turning & Milling Q.C.,res_6aa7bdbb-6c30-46f3-8394-149218c3309e,Role 6,2012-01-02 13:47:26,5,0,2012-01-02 13:31:03
Case6,Laser Marking,res_e1675b9f-3ce2-46ea-a41d-e02790562cb1,Role 7,2012-01-02 14:21:12,5,0,2012-01-02 14:05:19
Case7,Round Grinding,res_03ebc20b-61d2-4954-b915-e4c29ec4fb7c,Role 3,2012-01-02 15:33:50,6,0,2012-01-02 15:16:36
Case4,Turning & Milling,res_f51ca602-89ef-48d4-86e7-605b47390e39,Role 1,2012-01-02 17:14:36,6,0,2012-01-02 16:47:01
Case2,Round Grinding,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 3,2012-01-02 18:00:40,5,0,2012-01-02 17:31:36
Case8,Lapping,res_8db1c604-1359-4e3f-8a69-22e42c9694b7,Role 8,2012-01-02 18:07:53,6,0,2012-01-02 17:49:53
Case6,Turning & Milling,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 1,2012-01-02 18:45:01,5,0,2012-01-02 18:18:26
Case9,Packing,res_e3586c1b-5a5c-4a12-9109-8c0f2963e3db,Role 2,2012-01-02 18:55:42,6,0,2012-01-02 18:37:25
