caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Create Purchase Requisition,res_d4fd3845-fd2d-47ec-949c-666c5e47c143,Role 1,2011-01-01 02:36:03,20,0,2011-01-01 02:28:58
Case2,Create Purchase Requisition,res_8e7088c2-ce8b-4269-a496-81b4ee8c84e3,Role 1,2011-01-01 03:35:54,21,0,2011-01-01 03:28:52
Case3,Create Purchase Requisition,res_98ad28c6-3952-46f3-858f-b4d1d29106e1,Role 1,2011-01-01 04:30:26,22,0,2011-01-01 04:23:27
Case4,Create Purchase Requisition,res_0efa1cf0-93ae-46a7-b21a-d7c247f5cbbd,Role 1,2011-01-01 07:02:35,23,0,2011-01-01 06:55:41
Case5,Create Purchase Requisition,res_0efa1cf0-93ae-46a7-b21a-d7c247f5cbbd,Role 1,2011-01-01 07:06:28,24,1,2011-01-01 07:02:09
Case6,Create Purchase Requisition,res_d4fd3845-fd2d-47ec-949c-666c5e47c143,Role 1,2011-01-01 10:02:21,25,0,2011-01-01 09:55:32
Case7,Create Purchase Requisition,res_a4c66106-88f4-4357-ad17-009452505ca3,Role 1,2011-01-01 10:29:42,26,0,2011-01-01 10:22:54
Case8,Create Purchase Requisition,res_047c0b9a-26a5-494a-8637-5199a0ec470a,Role 1,2011-01-01 12:20:43,27,0,2011-01-01 12:13:58
Case9,Create Purchase Requisition,res_db198f26-c236-4d7a-81b5-448648afa47b,Role 1,2011-01-01 13:24:29,28,0,2011-01-01 13:17:45
Case10,Create Purchase Requisition,res_98ad28c6-3952-46f3-858f-b4d1d29106e1,Role 1,2011-01-01 14:33:46,29,0,2011-01-01 14:27:04
Case11,Create Purchase Requisition,res_81b073cc-39d3-44b6-b3bd-cc4e0a283e1b,Role 1,2011-01-01 15:31:20,30,0,2011-01-01 15:24:39
Case12,Create Purchase Requisition,res_0efa1cf0-93ae-46a7-b21a-d7c247f5cbbd,Role 1,2011-01-01 17:02:33,31,0,2011-01-01 16:55:53
Case13,Create Purchase Requisition,res_57d359f4-0776-445f-9f2d-aca528312839,Role 1,2011-01-01 17:20:19,32,0,2011-01-01 17:13:39
