caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-03-13 00:40:54,2012-03-13 00:40:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 00:40:54,2012-03-13 08:20:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 12:02:54,2012-03-13 12:24:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 00:40:54,2012-03-13 00:57:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 03:26:54,2012-03-13 12:00:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 12:35:54,2012-03-13 18:22:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 19:07:54,2012-03-13 20:06:54,Turning & Milling
Case1,Turning & Milling,2012-03-13 20:11:54,2012-03-14 07:02:54,Turning & Milling
Case1,Turning & Milling,2012-03-14 07:34:54,2012-03-14 10:59:54,Turning & Milling
Case1,Turning & Milling,2012-03-15 01:37:54,2012-03-15 02:26:54,Turning & Milling
Case1,Turning & Milling,2012-03-14 23:53:54,2012-03-14 23:54:54,Turning & Milling
Case1,Turning & Milling Q.C.,2012-03-18 00:39:54,2012-03-18 01:59:54,Turning & Milling Q.C.
Case1,Flat Grinding,2012-03-19 03:07:54,2012-03-19 04:08:54,Flat Grinding
Case1,Laser Marking,2012-03-29 22:35:54,2012-03-30 00:21:54,Laser Marking
Case1,Final Inspection Q.C.,2012-03-31 06:35:54,2012-03-31 08:43:54,Final Inspection Q.C.
Case1,Packing,2012-03-31 22:43:54,2012-03-31 23:43:54,Packing
Case1,Packing,2012-03-31 16:53:54,2012-03-31 17:53:54,Packing
Case1,Laser Marking,2012-04-13 22:43:54,2012-04-13 23:58:54,Laser Marking
Case1,End,2012-04-13 23:58:54.000001,2012-04-13 23:58:54.000001,End
Case2,Start,2012-03-13 01:33:44,2012-03-13 01:33:44,Turning
Case2,Turning,2012-03-13 01:33:44,2012-03-13 02:13:44,Turning
Case2,Turning,2012-03-13 02:26:44,2012-03-13 10:14:44,Turning
Case2,Turning Q.C.,2012-03-14 03:17:44,2012-03-14 04:14:44,Turning Q.C.
Case2,Turning,2012-03-14 04:24:44,2012-03-14 06:41:44,Turning
Case2,Turning,2012-03-14 12:57:44,2012-03-14 13:25:44,Turning
Case2,Turning,2012-03-14 14:05:44,2012-03-14 14:32:44,Turning
Case2,Turning,2012-03-14 14:33:44,2012-03-14 18:17:44,Turning
Case2,Turning,2012-03-14 19:03:44,2012-03-15 02:48:44,Turning
Case2,Turning,2012-03-15 10:00:44,2012-03-15 10:28:44,Turning
Case2,Turning,2012-03-15 10:30:44,2012-03-15 10:56:44,Turning
Case2,Turning Q.C.,2012-03-15 18:25:44,2012-03-15 18:26:44,Turning Q.C.
Case2,Turning & Milling,2012-03-15 18:50:44,2012-03-16 03:04:44,Turning & Milling
Case2,Lapping,2012-03-16 03:28:44,2012-03-16 04:43:44,Lapping
Case2,Flat Grinding,2012-03-16 06:43:44,2012-03-16 11:08:44,Flat Grinding
Case2,Flat Grinding,2012-03-18 06:17:44,2012-03-18 07:32:44,Flat Grinding
Case2,Laser Marking,2012-03-18 16:38:44,2012-03-18 17:38:44,Laser Marking
Case2,Lapping,2012-03-18 17:40:44,2012-03-18 18:55:44,Lapping
Case2,Flat Grinding,2012-03-19 05:12:44,2012-03-19 09:37:44,Flat Grinding
Case2,Lapping,2012-03-19 00:50:44,2012-03-19 02:05:44,Lapping
Case2,Lapping,2012-03-19 04:38:44,2012-03-19 06:03:44,Lapping
Case2,Final Inspection Q.C.,2012-03-19 14:10:44,2012-03-19 15:16:44,Final Inspection Q.C.
Case2,Final Inspection Q.C.,2012-03-19 16:05:44,2012-03-19 18:16:44,Final Inspection Q.C.
Case2,Final Inspection Q.C.,2012-03-20 07:33:44,2012-03-20 10:42:44,Final Inspection Q.C.
Case2,Packing,2012-03-21 22:42:44,2012-03-21 23:42:44,Packing
Case2,End,2012-03-21 23:42:44.000001,2012-03-21 23:42:44.000001,End
Case3,Start,2012-03-13 02:19:27,2012-03-13 02:19:27,Turning & Milling Q.C.
Case3,Turning & Milling Q.C.,2012-03-13 04:49:27,2012-03-13 06:29:27,Turning & Milling Q.C.
Case3,Laser Marking,2012-03-13 23:57:27,2012-03-14 00:47:27,Laser Marking
Case3,Laser Marking,2012-03-14 09:57:27,2012-03-14 11:25:27,Laser Marking
Case3,Lapping,2012-03-16 03:58:27,2012-03-16 04:58:27,Lapping
Case3,Lapping,2012-03-16 12:44:27,2012-03-16 17:04:27,Lapping
Case3,Final Inspection Q.C.,2012-03-17 16:48:27,2012-03-17 18:45:27,Final Inspection Q.C.
Case3,Final Inspection Q.C.,2012-03-19 14:44:27,2012-03-19 18:34:27,Final Inspection Q.C.
Case3,Packing,2012-03-20 10:34:27,2012-03-20 11:34:27,Packing
Case3,Packing,2012-03-21 09:54:27,2012-03-21 10:54:27,Packing
Case3,End,2012-03-21 10:54:27.000001,2012-03-21 10:54:27.000001,End
Case4,Start,2012-03-13 03:03:37,2012-03-13 03:03:37,Turning & Milling
Case4,Turning & Milling,2012-03-13 03:03:37,2012-03-13 04:18:37,Turning & Milling
Case4,Turning & Milling,2012-03-13 23:20:37,2012-03-14 03:31:37,Turning & Milling
Case4,Turning & Milling Q.C.,2012-03-13 17:09:37,2012-03-13 18:39:37,Turning & Milling Q.C.
Case4,Turning & Milling,2012-03-13 19:45:37,2012-03-14 00:04:37,Turning & Milling
Case4,Turning & Milling,2012-03-14 01:26:37,2012-03-14 08:44:37,Turning & Milling
Case4,Turning & Milling Q.C.,2012-03-14 08:57:37,2012-03-14 09:24:37,Turning & Milling Q.C.
Case4,Flat Grinding,2012-03-15 16:02:37,2012-03-15 16:42:37,Flat Grinding
Case4,Laser Marking,2012-03-15 20:28:37,2012-03-15 21:06:37,Laser Marking
Case4,Lapping,2012-03-27 14:03:37,2012-03-27 16:30:37,Lapping
Case4,Round Grinding,2012-03-27 20:27:37,2012-03-27 22:26:37,Round Grinding
Case4,Round Grinding,2012-03-28 05:53:37,2012-03-28 06:23:37,Round Grinding
Case4,Round Grinding,2012-04-09 20:31:37,2012-04-10 06:56:37,Round Grinding
Case4,Round Grinding,2012-04-10 22:30:37,2012-04-10 23:43:37,Round Grinding
Case4,Packing,2012-04-15 14:29:37,2012-04-15 15:29:37,Packing
Case4,Final Inspection Q.C.,2012-04-15 22:46:37,2012-04-16 00:01:37,Final Inspection Q.C.
Case4,Final Inspection Q.C.,2012-04-16 01:11:37,2012-04-16 01:12:37,Final Inspection Q.C.
Case4,Final Inspection Q.C.,2012-04-18 00:42:37,2012-04-18 05:42:37,Final Inspection Q.C.
Case4,End,2012-04-18 05:42:37.000001,2012-04-18 05:42:37.000001,End
Case5,Start,2012-03-13 05:35:00,2012-03-13 05:35:00,Turning
Case5,Turning,2012-03-13 10:22:00,2012-03-13 14:52:00,Turning
Case5,Turning,2012-03-13 14:53:00,2012-03-13 18:37:00,Turning
Case5,Turning,2012-03-14 06:25:00,2012-03-14 09:15:00,Turning
Case5,Turning Q.C.,2012-03-14 14:52:00,2012-03-14 16:52:00,Turning Q.C.
Case5,Lapping,2012-03-15 13:18:00,2012-03-15 14:42:00,Lapping
Case5,Lapping,2012-03-15 23:49:00,2012-03-16 01:04:00,Lapping
Case5,Round Grinding,2012-03-16 02:03:00,2012-03-16 04:37:00,Round Grinding
Case5,Round Grinding,2012-03-16 03:00:00,2012-03-16 11:23:00,Round Grinding
Case5,Laser Marking,2012-03-17 06:09:00,2012-03-17 06:10:00,Laser Marking
Case5,Final Inspection Q.C.,2012-03-17 07:01:00,2012-03-17 07:20:00,Final Inspection Q.C.
Case5,Final Inspection Q.C.,2012-03-17 20:49:00,2012-03-17 20:50:00,Final Inspection Q.C.
Case5,Packing,2012-03-19 06:44:00,2012-03-19 07:44:00,Packing
Case5,End,2012-03-19 07:44:00.000001,2012-03-19 07:44:00.000001,End
Case6,Start,2012-03-13 09:25:43,2012-03-13 09:25:43,Turning & Milling
Case6,Turning & Milling,2012-03-13 09:25:43,2012-03-13 10:55:43,Turning & Milling
Case6,Turning & Milling,2012-03-13 17:55:43,2012-03-14 01:03:43,Turning & Milling
Case6,Turning & Milling,2012-03-13 15:12:43,2012-03-13 22:28:43,Turning & Milling
Case6,Turning & Milling,2012-03-15 09:17:43,2012-03-15 18:17:43,Turning & Milling
Case6,Lapping,2012-03-15 19:23:43,2012-03-15 20:38:43,Lapping
Case6,Round Grinding,2012-03-15 21:39:43,2012-03-15 23:01:43,Round Grinding
Case6,Round Grinding,2012-03-15 23:11:43,2012-03-16 02:11:43,Round Grinding
Case6,Round Grinding,2012-03-17 23:37:43,2012-03-17 23:38:43,Round Grinding
Case6,Round Grinding,2012-03-16 02:12:43,2012-03-16 03:00:43,Round Grinding
Case6,Packing,2012-03-20 17:46:43,2012-03-20 18:46:43,Packing
Case6,Round Grinding,2012-03-25 16:09:43,2012-03-25 19:45:03,Round Grinding
Case6,Round Grinding,2012-03-25 19:46:03,2012-03-26 01:03:03,Round Grinding
Case6,Round Grinding,2012-03-26 02:35:03,2012-03-26 07:07:03,Round Grinding
Case6,Round Grinding,2012-03-26 11:31:03,2012-03-26 13:24:03,Round Grinding
Case6,Round Grinding,2012-03-26 13:25:03,2012-03-26 15:26:03,Round Grinding
Case6,Round Grinding,2012-04-01 16:56:03,2012-04-01 20:29:03,Round Grinding
Case6,Final Inspection Q.C.,2012-04-02 11:09:03,2012-04-02 12:12:03,Final Inspection Q.C.
Case6,Packing,2012-04-06 00:36:03,2012-04-06 01:36:03,Packing
Case6,Final Inspection Q.C.,2012-04-06 07:36:03,2012-04-06 12:16:03,Final Inspection Q.C.
Case6,End,2012-04-06 12:16:03.000001,2012-04-06 12:16:03.000001,End
Case7,Start,2012-03-13 14:10:32,2012-03-13 14:10:32,Turning & Milling
Case7,Turning & Milling,2012-03-13 14:10:32,2012-03-13 21:00:32,Turning & Milling
Case7,Turning & Milling,2012-03-13 23:01:32,2012-03-14 09:01:32,Turning & Milling
Case7,Turning & Milling,2012-03-14 04:08:32,2012-03-14 13:51:32,Turning & Milling
Case7,Turning & Milling,2012-03-14 16:06:32,2012-03-14 23:20:32,Turning & Milling
Case7,Turning & Milling,2012-03-15 03:16:32,2012-03-15 05:04:32,Turning & Milling
Case7,Turning & Milling,2012-03-15 05:28:32,2012-03-15 06:18:32,Turning & Milling
Case7,Turning & Milling,2012-03-15 09:17:32,2012-03-15 13:06:32,Turning & Milling
Case7,Turning & Milling,2012-03-15 13:07:32,2012-03-15 14:57:32,Turning & Milling
Case7,Turning & Milling,2012-03-15 06:40:32,2012-03-15 15:04:32,Turning & Milling
Case7,Turning & Milling,2012-03-16 09:06:32,2012-03-16 13:04:32,Turning & Milling
