caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-01-02 07:03:18,2012-01-02 07:03:18,Turning & Milling
Case1,Turning & Milling,2012-01-02 07:03:18,2012-01-02 15:46:18,Turning & Milling
Case1,Turning & Milling,2012-01-02 17:08:18,2012-01-02 18:38:18,Turning & Milling
Case1,Turning & Milling Q.C.,2012-01-02 15:48:18,2012-01-02 16:30:18,Turning & Milling Q.C.
Case1,Turning & Milling,2012-01-10 09:00:18,2012-01-10 16:57:18,Turning & Milling
Case1,Turning & Milling,2012-01-10 19:22:18,2012-01-11 00:02:18,Turning & Milling
Case1,Turning & Milling,2012-01-11 02:48:18,2012-01-11 03:15:18,Turning & Milling
Case1,Turning & Milling Q.C.,2012-01-11 05:25:18,2012-01-11 06:26:18,Turning & Milling Q.C.
Case1,Turning & Milling,2012-01-13 13:01:18,2012-01-13 19:01:18,Turning & Milling
Case1,Turning & Milling,2012-01-14 01:23:18,2012-01-14 02:38:18,Turning & Milling
Case1,Stress Relief,2012-01-14 02:38:18,2012-01-14 06:38:18,Stress Relief
Case1,Turning & Milling,2012-01-14 17:33:18,2012-01-14 23:01:18,Turning & Milling
Case1,Turning,2012-01-15 05:02:18,2012-01-15 12:09:18,Turning
Case1,Turning,2012-01-15 12:09:18,2012-01-15 13:47:18,Turning
Case1,Turning,2012-01-17 08:18:17,2012-01-17 18:05:17,Turning
Case1,Turning & Milling Q.C.,2012-01-15 01:49:18,2012-01-15 03:09:18,Turning & Milling Q.C.
Case1,Turning,2012-01-15 08:37:18,2012-01-15 14:55:58,Turning
Case1,Turning,2012-01-17 19:50:17,2012-01-18 02:56:17,Turning
Case1,Turning,2012-01-18 03:33:17,2012-01-18 04:45:17,Turning
Case1,Turning Q.C.,2012-01-18 22:15:17,2012-01-18 23:12:17,Turning Q.C.
Case1,Laser Marking,2012-01-20 22:17:17,2012-01-20 23:32:17,Laser Marking
Case1,Lapping,2012-01-20 23:41:17,2012-01-21 01:00:17,Lapping
Case1,Final Inspection Q.C.,2012-01-25 01:07:17,2012-01-25 04:19:17,Final Inspection Q.C.
Case1,Packing,2012-01-21 16:22:17,2012-01-21 17:22:17,Packing
Case1,Final Inspection Q.C.,2012-01-25 10:24:17,2012-01-25 10:44:17,Final Inspection Q.C.
Case1,Final Inspection Q.C.,2012-01-25 10:44:17,2012-01-25 12:42:17,Final Inspection Q.C.
Case1,Final Inspection Q.C.,2012-01-27 12:12:17,2012-01-27 13:12:17,Final Inspection Q.C.
Case1,Grinding Rework,2012-02-21 18:14:17,2012-02-21 19:27:17,Grinding Rework
Case1,Final Inspection Q.C.,2012-02-22 17:27:17,2012-02-22 19:07:17,Final Inspection Q.C.
Case1,Final Inspection Q.C.,2012-02-22 19:27:17,2012-02-22 19:30:17,Final Inspection Q.C.
Case1,Packing,2012-02-23 03:49:17,2012-02-23 04:49:17,Packing
Case1,Packing,2012-02-24 03:49:17,2012-02-24 04:49:17,Packing
Case1,End,2012-02-24 04:49:17,2012-02-24 04:49:17,End
Case2,Start,2012-01-02 19:28:55,2012-01-02 19:28:55,Turning
Case2,Turning,2012-01-02 20:01:55,2012-01-02 20:11:55,Turning
Case2,Turning,2012-01-02 20:12:55,2012-01-02 21:50:55,Turning
Case2,Turning,2012-01-02 21:50:55,2012-01-03 04:29:55,Turning
Case2,Turning Q.C.,2012-01-03 12:14:55,2012-01-03 13:54:55,Turning Q.C.
Case2,Lapping,2012-01-03 16:18:55,2012-01-03 16:54:55,Lapping
Case2,Lapping,2012-01-16 20:49:55,2012-01-16 22:14:55,Lapping
Case2,Round Grinding,2012-01-18 06:56:55,2012-01-18 07:48:55,Round Grinding
Case2,Round Grinding,2012-02-01 14:08:55,2012-02-01 21:28:55,Round Grinding
Case2,Laser Marking,2012-02-01 21:28:55,2012-02-01 21:30:55,Laser Marking
Case2,Final Inspection Q.C.,2012-02-01 22:13:55,2012-02-01 23:53:55,Final Inspection Q.C.
Case2,Final Inspection Q.C.,2012-02-01 23:54:55,2012-02-02 00:34:55,Final Inspection Q.C.
Case2,Packing,2012-02-02 09:07:55,2012-02-02 10:07:55,Packing
Case2,End,2012-02-02 10:07:55,2012-02-02 10:07:55,End
Case3,Start,2012-01-02 21:13:42,2012-01-02 21:13:42,Turning
Case3,Turning,2012-01-02 21:13:42,2012-01-03 01:43:42,Turning
Case3,Turning,2012-01-03 01:47:42,2012-01-03 01:48:42,Turning
Case3,Turning Q.C.,2012-01-04 16:41:42,2012-01-04 17:15:42,Turning Q.C.
Case3,Turning,2012-01-04 17:15:42,2012-01-04 20:40:42,Turning
Case3,Turning,2012-01-04 22:01:42,2012-01-04 23:28:42,Turning
Case3,Turning,2012-01-05 00:05:42,2012-01-05 06:57:42,Turning
Case3,Turning,2012-01-05 07:57:42,2012-01-05 16:19:42,Turning
Case3,Turning,2012-01-05 17:03:42,2012-01-05 22:51:42,Turning
Case3,Turning,2012-01-05 22:53:42,2012-01-06 09:33:42,Turning
Case3,Turning,2012-01-06 10:54:42,2012-01-06 12:05:42,Turning
Case3,Turning Q.C.,2012-01-06 14:23:42,2012-01-06 14:24:42,Turning Q.C.
Case3,Turning & Milling,2012-01-06 14:58:42,2012-01-06 22:41:42,Turning & Milling
Case3,Lapping,2012-01-07 11:26:42,2012-01-07 13:26:42,Lapping
Case3,Flat Grinding,2012-01-07 15:26:42,2012-01-07 19:51:42,Flat Grinding
Case3,Flat Grinding,2012-01-08 03:43:42,2012-01-08 04:58:42,Flat Grinding
Case3,Laser Marking,2012-01-22 01:48:42,2012-01-22 04:38:42,Laser Marking
Case3,Flat Grinding,2012-02-06 16:01:41,2012-02-06 16:23:41,Flat Grinding
Case3,Final Inspection Q.C.,2012-02-09 12:02:41,2012-02-09 14:02:41,Final Inspection Q.C.
Case3,Flat Grinding,2012-02-07 16:36:41,2012-02-07 17:01:41,Flat Grinding
Case3,Flat Grinding,2012-02-08 15:46:41,2012-02-08 18:33:41,Flat Grinding
Case3,Laser Marking,2012-02-20 13:13:41,2012-02-20 14:16:41,Laser Marking
Case3,Final Inspection Q.C.,2012-02-26 13:28:41,2012-02-26 15:28:41,Final Inspection Q.C.
Case3,Final Inspection Q.C.,2012-02-26 15:35:41,2012-02-26 17:15:41,Final Inspection Q.C.
Case3,Final Inspection Q.C.,2012-02-27 17:10:41,2012-02-27 18:10:41,Final Inspection Q.C.
Case3,Packing,2012-02-28 02:18:42,2012-02-28 03:18:42,Packing
Case3,End,2012-02-28 03:18:42,2012-02-28 03:18:42,End
Case4,Start,2012-01-02 22:06:39,2012-01-02 22:06:39,Turning & Milling
Case4,Turning & Milling,2012-01-02 22:06:39,2012-01-03 01:36:39,Turning & Milling
Case4,Turning & Milling,2012-01-03 01:37:39,2012-01-03 04:42:39,Turning & Milling
Case4,Turning & Milling,2012-01-03 04:55:39,2012-01-03 06:29:39,Turning & Milling
Case4,Turning & Milling Q.C.,2012-01-03 12:24:39,2012-01-03 12:37:39,Turning & Milling Q.C.
Case4,Turning & Milling Q.C.,2012-01-04 09:59:39,2012-01-04 10:05:39,Turning & Milling Q.C.
Case4,Turning & Milling Q.C.,2012-01-04 13:47:39,2012-01-04 13:54:39,Turning & Milling Q.C.
Case4,Final Inspection Q.C.,2012-01-05 21:36:39,2012-01-05 21:51:39,Final Inspection Q.C.
Case4,Flat Grinding,2012-01-05 09:01:39,2012-01-05 09:41:39,Flat Grinding
Case4,Lapping,2012-01-18 02:28:39,2012-01-18 02:48:39,Lapping
Case4,Laser Marking,2012-01-16 16:38:39,2012-01-16 17:53:39,Laser Marking
Case4,Final Inspection Q.C.,2012-01-18 15:48:39,2012-01-18 18:36:39,Final Inspection Q.C.
Case4,Final Inspection Q.C.,2012-01-19 09:25:39,2012-01-19 13:15:39,Final Inspection Q.C.
Case4,Packing,2012-01-20 03:54:39,2012-01-20 04:54:39,Packing
Case4,End,2012-01-20 04:54:39,2012-01-20 04:54:39,End
Case5,Start,2012-01-02 23:50:08,2012-01-02 23:50:08,Turning & Milling
Case5,Turning & Milling,2012-01-02 23:50:08,2012-01-02 23:51:08,Turning & Milling
Case5,Turning & Milling,2012-01-03 03:51:08,2012-01-03 13:56:08,Turning & Milling
Case5,Turning & Milling Q.C.,2012-01-04 04:44:08,2012-01-04 07:20:08,Turning & Milling Q.C.
Case5,End,2012-01-04 07:20:08,2012-01-04 07:20:08,End
Case6,Start,2012-01-03 00:13:02,2012-01-03 00:13:02,Turning & Milling
Case6,Turning & Milling,2012-01-03 00:13:02,2012-01-03 07:48:02,Turning & Milling
Case6,Turning & Milling,2012-01-03 07:48:02,2012-01-03 09:48:02,Turning & Milling
Case6,Turning & Milling,2012-01-03 22:49:02,2012-01-04 04:22:02,Turning & Milling
Case6,Turning & Milling,2012-01-04 05:04:02,2012-01-04 05:05:02,Turning & Milling
Case6,Turning & Milling,2012-01-04 09:05:02,2012-01-04 13:20:02,Turning & Milling
Case6,Turning & Milling,2012-01-04 13:51:02,2012-01-04 19:49:02,Turning & Milling
Case6,Turning & Milling Q.C.,2012-01-05 03:15:02,2012-01-05 05:25:02,Turning & Milling Q.C.
Case6,Turning & Milling Q.C.,2012-01-05 22:24:02,2012-01-05 22:31:02,Turning & Milling Q.C.
Case6,End,2012-01-05 22:31:02,2012-01-05 22:31:02,End
Case7,Start,2012-01-03 01:54:36,2012-01-03 01:54:36,Turning & Milling
Case7,Turning & Milling,2012-01-03 01:54:36,2012-01-03 03:10:36,Turning & Milling
Case7,Turning & Milling,2012-01-03 03:11:36,2012-01-03 04:27:36,Turning & Milling
Case7,Turning & Milling,2012-01-08 04:06:36,2012-01-08 06:23:36,Turning & Milling
Case7,Turning & Milling Q.C.,2012-01-08 09:48:36,2012-01-08 11:03:36,Turning & Milling Q.C.
Case7,Fix,2012-01-13 16:21:36,2012-01-13 17:57:36,Fix
Case7,Turning & Milling Q.C.,2012-01-15 08:54:36,2012-01-15 09:31:36,Turning & Milling Q.C.
Case7,Turning & Milling Q.C.,2012-01-15 08:53:36,2012-01-15 09:31:36,Turning & Milling Q.C.
Case7,End,2012-01-15 09:31:36,2012-01-15 09:31:36,End
Case8,Start,2012-01-03 02:38:55,2012-01-03 02:38:55,Turning & Milling
Case8,Turning & Milling,2012-01-03 02:38:55,2012-01-03 07:35:55,Turning & Milling
Case8,Turning & Milling,2012-01-03 18:47:55,2012-01-03 22:35:55,Turning & Milling
Case8,Turning & Milling Q.C.,2012-01-03 02:38:55,2012-01-03 02:41:55,Turning & Milling Q.C.
Case8,Turning & Milling,2012-01-04 02:30:55,2012-01-04 09:11:55,Turning & Milling
Case8,Turning & Milling Q.C.,2012-01-04 11:50:55,2012-01-04 12:50:55,Turning & Milling Q.C.
Case8,Laser Marking,2012-01-05 09:45:55,2012-01-05 10:05:55,Laser Marking
Case8,Lapping,2012-01-05 10:05:55,2012-01-05 18:10:55,Lapping
Case8,Lapping,2012-01-06 02:00:55,2012-01-06 03:15:55,Lapping
Case8,Round Grinding,2012-01-05 23:25:55,2012-01-06 01:14:55,Round Grinding
Case8,Round Grinding,2012-01-06 18:28:55,2012-01-06 18:51:55,Round Grinding
Case8,Round Grinding,2012-01-06 23:30:55,2012-01-07 05:35:55,Round Grinding
Case8,Round Grinding,2012-01-08 18:50:55,2012-01-08 20:34:55,Round Grinding
Case8,Round Grinding,2012-01-08 20:36:55,2012-01-08 22:05:55,Round Grinding
Case8,Round Grinding,2012-01-08 22:05:55,2012-01-09 02:04:55,Round Grinding
Case8,Round Grinding,2012-01-08 22:05:55,2012-01-09 06:31:55,Round Grinding
Case8,Packing,2012-01-09 14:44:55,2012-01-09 15:44:55,Packing
Case8,End,2012-01-09 15:44:55,2012-01-09 15:44:55,End
Case9,Start,2012-01-03 03:32:29,2012-01-03 03:32:29,Turning & Milling
Case9,Turning & Milling,2012-01-03 03:32:29,2012-01-03 08:43:29,Turning & Milling
Case9,Turning & Milling,2012-01-03 08:56:29,2012-01-03 14:18:29,Turning & Milling
Case9,Turning & Milling,2012-01-03 14:59:29,2012-01-03 15:54:29,Turning & Milling
Case9,Turning & Milling,2012-01-03 15:54:29,2012-01-03 17:35:29,Turning & Milling
Case9,Turning & Milling,2012-01-03 21:24:29,2012-01-03 22:55:29,Turning & Milling
Case9,Turning & Milling Q.C.,2012-01-03 17:54:29,2012-01-03 18:55:29,Turning & Milling Q.C.
Case9,Turning & Milling,2012-01-03 23:33:29,2012-01-04 01:04:29,Turning & Milling
Case9,Turning & Milling,2012-01-04 01:04:29,2012-01-04 06:06:29,Turning & Milling
Case9,Turning & Milling,2012-01-04 06:13:29,2012-01-04 10:48:29,Turning & Milling
Case9,Turning & Milling,2012-01-05 06:50:29,2012-01-05 08:04:29,Turning & Milling
Case9,Turning & Milling,2012-01-04 06:39:29,2012-01-04 09:42:29,Turning & Milling
Case9,Turning & Milling,2012-01-04 18:10:29,2012-01-04 18:32:29,Turning & Milling
Case9,Turning & Milling,2012-01-05 12:36:29,2012-01-05 22:19:29,Turning & Milling
Case9,Flat Grinding,2012-01-07 02:31:29,2012-01-07 04:06:29,Flat Grinding
Case9,Turning & Milling Q.C.,2012-01-05 22:19:29,2012-01-06 01:55:29,Turning & Milling Q.C.
Case9,Laser Marking,2012-01-08 22:49:29,2012-01-08 22:50:29,Laser Marking
Case9,Final Inspection Q.C.,2012-01-09 01:07:29,2012-01-09 01:21:29,Final Inspection Q.C.
Case9,Packing,2012-01-14 10:01:29,2012-01-14 11:01:29,Packing
Case9,End,2012-01-14 11:01:29,2012-01-14 11:01:29,End
Case10,Start,2012-01-03 05:39:02,2012-01-03 05:39:02,Turning & Milling
Case10,Turning & Milling,2012-01-03 05:39:02,2012-01-03 06:19:02,Turning & Milling
Case10,Turning & Milling,2012-01-03 20:53:02,2012-01-04 03:02:02,Turning & Milling
Case10,Turning & Milling,2012-01-04 09:06:02,2012-01-04 15:46:02,Turning & Milling
Case10,Turning & Milling,2012-01-04 16:58:02,2012-01-04 18:36:02,Turning & Milling
Case10,Turning & Milling,2012-01-04 18:38:02,2012-01-05 01:43:02,Turning & Milling
Case10,Turning & Milling,2012-01-15 02:20:02,2012-01-15 03:28:02,Turning & Milling
Case10,Turning & Milling Q.C.,2012-01-15 08:08:02,2012-01-15 13:28:02,Turning & Milling Q.C.
Case10,Flat Grinding,2012-01-20 03:38:02,2012-01-20 04:39:02,Flat Grinding
Case10,Laser Marking,2012-01-15 13:56:02,2012-01-15 13:59:02,Laser Marking
Case10,Final Inspection Q.C.,2012-01-21 23:17:02,2012-01-22 02:03:02,Final Inspection Q.C.
Case10,Packing,2012-01-23 16:22:02,2012-01-23 17:22:02,Packing
Case10,End,2012-01-23 17:22:02,2012-01-23 17:22:02,End
Case11,Start,2012-01-03 06:48:32,2012-01-03 06:48:32,Turning & Milling Q.C.
Case11,Turning & Milling Q.C.,2012-01-03 14:34:32,2012-01-03 17:39:32,Turning & Milling Q.C.
Case11,Laser Marking,2012-01-05 18:01:32,2012-01-05 18:23:32,Laser Marking
Case11,Lapping,2012-01-05 18:23:32,2012-01-06 02:28:32,Lapping
Case11,Flat Grinding,2012-01-06 12:45:32,2012-01-06 17:10:32,Flat Grinding
Case11,Lapping,2012-01-06 20:02:32,2012-01-06 21:42:32,Lapping
Case11,Packing,2012-01-07 05:56:32,2012-01-07 06:56:32,Packing
Case11,Final Inspection Q.C.,2012-01-07 14:00:32,2012-01-07 15:46:32,Final Inspection Q.C.
Case11,End,2012-01-07 15:46:32,2012-01-07 15:46:32,End
Case12,Start,2012-01-02 08:47:01,2012-01-02 08:47:01,Milling
Case12,Milling,2012-01-02 08:47:01,2012-01-02 10:02:01,Milling
Case12,Grinding Rework,2012-01-05 02:32:01,2012-01-05 03:46:01,Grinding Rework
Case12,Final Inspection Q.C.,2012-01-06 23:45:01,2012-01-07 01:25:01,Final Inspection Q.C.
Case12,Final Inspection Q.C.,2012-03-02 00:22:01,2012-03-02 01:37:01,Final Inspection Q.C.
Case12,Packing,2012-03-02 14:37:01,2012-03-02 15:37:01,Packing
Case12,Final Inspection Q.C.,2012-03-02 22:54:01,2012-03-02 22:55:01,Final Inspection Q.C.
Case12,Round Grinding,2012-03-03 01:54:01,2012-03-03 03:14:01,Round Grinding
Case12,Round Grinding,2012-03-03 06:05:01,2012-03-03 10:41:01,Round Grinding
Case12,Round Grinding,2012-03-03 10:42:01,2012-03-03 16:47:01,Round Grinding
Case12,End,2012-03-03 16:47:01,2012-03-03 16:47:01,End
Case13,Start,2012-01-03 07:30:48,2012-01-03 07:30:48,Packing
Case13,Packing,2012-01-03 07:30:48,2012-01-03 08:30:48,Packing
Case13,Final Inspection Q.C.,2012-01-03 14:20:48,2012-01-03 18:22:48,Final Inspection Q.C.
Case13,End,2012-01-03 18:22:48,2012-01-03 18:22:48,End
Case14,Start,2012-01-03 08:17:10,2012-01-03 08:17:10,Turning & Milling
Case14,Turning & Milling,2012-01-03 08:17:10,2012-01-03 09:32:10,Turning & Milling
Case14,Turning & Milling,2012-01-03 09:36:10,2012-01-03 16:21:10,Turning & Milling
Case14,Turning & Milling Q.C.,2012-01-04 06:16:10,2012-01-04 07:42:10,Turning & Milling Q.C.
Case14,End,2012-01-04 07:42:10,2012-01-04 07:42:10,End
Case15,Start,2012-01-03 09:03:53,2012-01-03 09:03:53,Laser Marking
Case15,Laser Marking,2012-01-03 09:03:53,2012-01-03 11:03:53,Laser Marking
Case15,Flat Grinding,2012-01-03 11:03:53,2012-01-03 13:33:53,Flat Grinding
Case15,Flat Grinding,2012-01-03 20:34:53,2012-01-03 21:49:53,Flat Grinding
Case15,Flat Grinding,2012-01-04 05:39:53,2012-01-04 06:54:53,Flat Grinding
Case15,Final Inspection Q.C.,2012-01-07 02:33:53,2012-01-07 03:42:53,Final Inspection Q.C.
Case15,Packing,2012-01-07 13:41:53,2012-01-07 14:41:53,Packing
Case15,Final Inspection Q.C.,2012-01-07 22:41:53,2012-01-08 01:19:53,Final Inspection Q.C.
Case15,End,2012-01-08 01:19:53,2012-01-08 01:19:53,End
Case16,Start,2012-01-03 11:44:27,2012-01-03 11:44:27,Turning
Case16,Turning,2012-01-03 11:44:27,2012-01-03 16:20:27,Turning
Case16,Turning,2012-01-04 00:08:27,2012-01-04 10:59:27,Turning
Case16,Turning,2012-01-03 16:21:27,2012-01-03 19:06:27,Turning
Case16,Turning,2012-01-04 11:00:27,2012-01-04 18:06:27,Turning
Case16,Turning Q.C.,2012-01-04 20:24:27,2012-01-04 21:39:27,Turning Q.C.
Case16,Lapping,2012-01-05 00:05:27,2012-01-05 00:41:27,Lapping
Case16,Final Inspection Q.C.,2012-01-05 02:50:27,2012-01-05 08:33:27,Final Inspection Q.C.
Case16,Laser Marking,2012-01-05 21:31:27,2012-01-05 22:29:27,Laser Marking
