caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 01:31:31,2011-01-01 01:31:31,Create Purchase Requisition
Case1,Create Purchase Requisition,2011-01-01 01:31:31,2011-01-01 01:48:31,Create Purchase Requisition
Case1,Analyze Purchase Requisition,2011-01-01 17:43:31,2011-01-01 17:51:31,Analyze Purchase Requisition
Case1,Create Request for Quotation,2011-01-01 17:54:31,2011-01-01 17:56:31,Create Request for Quotation
Case1,Analyze Request for Quotation,2011-01-03 03:20:31,2011-01-03 03:40:31,Analyze Request for Quotation
Case1,Send Request for Quotation to Supplier,2011-01-03 21:58:31,2011-01-03 22:19:31,Send Request for Quotation to Supplier
Case1,Create Quotation comparison Map,2011-01-04 09:23:31,2011-01-04 13:02:31,Create Quotation comparison Map
Case1,Analyze Quotation Comparison Map,2011-01-04 19:56:31,2011-01-04 20:16:31,Analyze Quotation Comparison Map
Case1,Choose best option,2011-01-04 20:16:31,2011-01-04 20:16:31,Choose best option
Case1,Settle Conditions With Supplier,2011-01-04 23:47:31,2011-01-05 11:21:31,Settle Conditions With Supplier
Case1,Create Purchase Order,2011-01-05 13:02:31,2011-01-05 13:12:31,Create Purchase Order
Case1,Confirm Purchase Order,2011-01-06 04:53:31,2011-01-06 05:25:31,Confirm Purchase Order
Case1,Deliver Goods Services,2011-01-19 22:24:31,2011-01-21 18:29:31,Deliver Goods Services
Case1,Release Purchase Order,2011-01-22 02:03:31,2011-01-22 02:04:31,Release Purchase Order
Case1,Approve Purchase Order for payment,2011-01-22 10:59:31,2011-01-22 11:00:31,Approve Purchase Order for payment
Case1,Send Invoice,2011-01-24 18:03:31,2011-01-24 18:03:31,Send Invoice
Case1,Release Supplier's Invoice,2011-01-25 08:28:31,2011-01-25 08:31:31,Release Supplier's Invoice
Case1,Settle Dispute With Supplier,2011-01-25 09:14:31,2011-01-25 09:33:31,Settle Dispute With Supplier
Case1,Authorize Supplier's Invoice payment,2011-01-25 09:37:31,2011-01-25 09:37:31,Authorize Supplier's Invoice payment
Case1,Pay Invoice,2011-01-25 10:41:31,2011-01-25 10:53:31,Pay Invoice
Case1,End,2011-01-25 10:53:31,2011-01-25 10:53:31,End
Case2,Start,2011-01-01 02:21:13,2011-01-01 02:21:13,Create Purchase Requisition
Case2,Create Purchase Requisition,2011-01-01 02:21:13,2011-01-01 02:48:13,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-01-02 01:05:13,2011-01-02 01:10:13,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-01-02 01:14:13,2011-01-02 01:16:13,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-01-08 14:17:13,2011-01-08 14:40:13,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-01-10 14:37:13,2011-01-10 14:56:13,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-01-10 15:31:13,2011-01-10 20:02:14,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-01-11 02:18:14,2011-01-11 02:35:14,Analyze Quotation Comparison Map
Case2,Choose best option,2011-01-11 02:35:14,2011-01-11 02:35:14,Choose best option
Case2,Settle Conditions With Supplier,2011-01-11 16:52:14,2011-01-12 00:01:14,Settle Conditions With Supplier
Case2,Create Purchase Order,2011-01-12 01:22:14,2011-01-12 01:29:14,Create Purchase Order
Case2,Confirm Purchase Order,2011-01-14 12:24:14,2011-01-14 12:51:14,Confirm Purchase Order
Case2,Deliver Goods Services,2011-01-14 22:28:14,2011-01-16 18:50:14,Deliver Goods Services
Case2,Release Purchase Order,2011-01-17 02:25:14,2011-01-17 02:26:14,Release Purchase Order
Case2,Approve Purchase Order for payment,2011-01-17 06:40:14,2011-01-17 06:41:14,Approve Purchase Order for payment
Case2,Send Invoice,2011-01-17 22:36:14,2011-01-17 22:36:14,Send Invoice
Case2,Release Supplier's Invoice,2011-01-18 12:56:14,2011-01-18 13:02:14,Release Supplier's Invoice
Case2,Authorize Supplier's Invoice payment,2011-01-18 13:02:14,2011-01-18 13:02:14,Authorize Supplier's Invoice payment
Case2,Pay Invoice,2011-01-18 13:30:14,2011-01-18 13:35:14,Pay Invoice
Case2,End,2011-01-18 13:35:14,2011-01-18 13:35:14,End
Case3,Start,2011-01-01 04:45:33,2011-01-01 04:45:33,Create Purchase Requisition
Case3,Create Purchase Requisition,2011-01-01 04:45:33,2011-01-01 04:57:33,Create Purchase Requisition
Case3,Analyze Purchase Requisition,2011-01-01 16:56:33,2011-01-01 17:02:33,Analyze Purchase Requisition
Case3,End,2011-01-01 17:02:33,2011-01-01 17:02:33,End
Case4,Start,2011-01-01 05:44:57,2011-01-01 05:44:57,Create Purchase Requisition
Case4,Create Purchase Requisition,2011-01-01 05:44:57,2011-01-01 06:18:57,Create Purchase Requisition
Case4,Create Request for Quotation,2011-01-01 10:48:57,2011-01-01 10:58:57,Create Request for Quotation
Case4,Analyze Request for Quotation,2011-01-03 18:02:57,2011-01-03 18:23:57,Analyze Request for Quotation
Case4,Amend Request for Quotation,2011-01-03 19:12:57,2011-01-03 19:19:57,Amend Request for Quotation
Case4,Analyze Request for Quotation,2011-02-07 20:46:57,2011-02-07 21:17:57,Analyze Request for Quotation
Case4,Amend Request for Quotation,2011-02-07 22:17:57,2011-02-07 22:24:57,Amend Request for Quotation
Case4,Analyze Request for Quotation,2011-02-08 08:55:57,2011-02-08 09:26:57,Analyze Request for Quotation
Case4,End,2011-02-08 09:26:57,2011-02-08 09:26:57,End
Case5,Start,2011-01-01 06:02:30,2011-01-01 06:02:30,Create Purchase Requisition
Case5,Create Purchase Requisition,2011-01-01 06:02:30,2011-01-01 06:42:30,Create Purchase Requisition
Case5,Create Request for Quotation,2011-01-01 14:24:30,2011-01-01 14:35:30,Create Request for Quotation
Case5,Analyze Request for Quotation,2011-01-02 17:06:30,2011-01-02 17:39:30,Analyze Request for Quotation
Case5,End,2011-01-02 17:39:30,2011-01-02 17:39:30,End
Case6,Start,2011-01-01 07:22:10,2011-01-01 07:22:10,Create Purchase Requisition
Case6,Create Purchase Requisition,2011-01-01 07:22:10,2011-01-01 08:11:10,Create Purchase Requisition
Case6,Analyze Purchase Requisition,2011-01-01 22:54:10,2011-01-01 23:02:10,Analyze Purchase Requisition
Case6,Create Request for Quotation,2011-01-01 23:06:10,2011-01-01 23:08:10,Create Request for Quotation
Case6,Analyze Request for Quotation,2011-01-02 17:56:10,2011-01-02 18:29:10,Analyze Request for Quotation
Case6,End,2011-01-02 18:29:10,2011-01-02 18:29:10,End
Case7,Start,2011-01-01 08:33:24,2011-01-01 08:33:24,Create Purchase Requisition
Case7,Create Purchase Requisition,2011-01-01 08:33:24,2011-01-01 09:01:24,Create Purchase Requisition
Case7,Create Request for Quotation,2011-01-01 10:04:24,2011-01-01 10:12:24,Create Request for Quotation
Case7,Analyze Request for Quotation,2011-01-03 01:25:24,2011-01-03 01:40:24,Analyze Request for Quotation
Case7,Send Request for Quotation to Supplier,2011-01-04 02:52:24,2011-01-04 03:25:24,Send Request for Quotation to Supplier
Case7,Create Quotation comparison Map,2011-01-04 05:32:24,2011-01-04 07:32:24,Create Quotation comparison Map
Case7,Analyze Quotation Comparison Map,2011-01-04 14:17:24,2011-01-04 14:44:24,Analyze Quotation Comparison Map
Case7,Choose best option,2011-01-04 14:44:24,2011-01-04 14:44:24,Choose best option
Case7,Settle Conditions With Supplier,2011-01-04 17:59:24,2011-01-05 05:44:24,Settle Conditions With Supplier
Case7,Create Purchase Order,2011-01-05 12:21:24,2011-01-05 12:32:24,Create Purchase Order
Case7,Confirm Purchase Order,2011-01-08 11:07:24,2011-01-08 11:28:24,Confirm Purchase Order
Case7,Deliver Goods Services,2011-01-09 15:28:24,2011-01-11 11:33:24,Deliver Goods Services
Case7,Release Purchase Order,2011-01-11 18:37:24,2011-01-11 18:38:24,Release Purchase Order
Case7,Approve Purchase Order for payment,2011-01-13 07:10:24,2011-01-13 07:11:24,Approve Purchase Order for payment
Case7,Send Invoice,2011-01-13 12:53:24,2011-01-13 12:53:24,Send Invoice
Case7,Release Supplier's Invoice,2011-01-14 03:16:24,2011-01-14 03:23:24,Release Supplier's Invoice
Case7,Authorize Supplier's Invoice payment,2011-01-14 03:23:24,2011-01-14 03:23:24,Authorize Supplier's Invoice payment
Case7,Pay Invoice,2011-01-14 04:23:24,2011-01-14 04:32:24,Pay Invoice
Case7,End,2011-01-14 04:32:24,2011-01-14 04:32:24,End
Case8,Start,2011-01-01 09:51:36,2011-01-01 09:51:36,Create Purchase Requisition
Case8,Create Purchase Requisition,2011-01-01 09:51:36,2011-01-01 09:59:36,Create Purchase Requisition
Case8,Create Request for Quotation,2011-01-01 16:43:36,2011-01-01 16:53:36,Create Request for Quotation
Case8,Analyze Request for Quotation,2011-01-03 22:37:36,2011-01-03 23:09:36,Analyze Request for Quotation
Case8,Amend Request for Quotation,2011-01-03 23:57:36,2011-01-04 00:02:36,Amend Request for Quotation
Case8,Analyze Request for Quotation,2011-01-04 04:30:36,2011-01-04 04:57:36,Analyze Request for Quotation
Case8,Amend Request for Quotation,2011-01-04 05:52:36,2011-01-04 06:03:36,Amend Request for Quotation
