caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-03-13 00:29:14,2012-03-13 00:29:14,Start
Case1,Turning & Milling,2012-03-13 00:29:14,2012-03-13 04:13:14,ID4794
Case1,Turning & Milling,2012-03-13 00:29:14,2012-03-13 05:56:14,ID4429
Case1,Turning & Milling,2012-03-13 06:00:14,2012-03-13 06:11:14,ID4167
Case1,Turning & Milling,2012-03-13 06:12:14,2012-03-13 15:58:14,ID4794
Case1,Turning & Milling Q.C.,2012-03-17 12:10:14,2012-03-17 15:10:14,ID4618
Case1,Turning & Milling,2012-03-17 15:27:14,2012-03-17 23:11:14,ID4429
Case1,Turning & Milling,2012-03-17 23:33:14,2012-03-18 06:50:14,ID4167
Case1,Turning & Milling,2012-03-18 03:20:14,2012-03-18 08:41:14,ID4794
Case1,Lapping,2012-03-18 11:47:14,2012-03-18 11:48:14,ID0998
Case1,Lapping,2012-03-18 13:12:34,2012-03-18 14:40:34,ID4882
Case1,Laser Marking,2012-03-19 03:33:34,2012-03-19 05:16:34,ID0998
Case1,Turning & Milling Q.C.,2012-03-19 05:32:34,2012-03-19 07:42:34,ID4618
Case1,Turning & Milling Q.C.,2012-03-21 08:02:34,2012-03-21 08:20:34,ID4618
Case1,Final Inspection Q.C.,2012-04-04 18:38:34,2012-04-04 19:53:34,ID4618
Case1,Final Inspection Q.C.,2012-04-05 10:58:34,2012-04-05 12:38:34,ID4618
Case1,Final Inspection Q.C.,2012-04-05 16:48:34,2012-04-05 22:35:34,ID4618
Case1,Round Grinding,2012-04-11 16:16:34,2012-04-11 17:31:34,ID4872
Case1,Final Inspection Q.C.,2012-04-19 16:29:34,2012-04-19 19:11:34,ID4618
Case1,Packing,2012-04-20 04:01:34,2012-04-20 05:01:34,ID4820
Case1,Laser Marking,2012-04-20 15:25:34,2012-04-20 15:56:34,ID0998
Case1,Lapping,2012-06-07 03:17:34,2012-06-07 07:54:34,ID4882
Case1,Lapping,2012-06-07 09:19:34,2012-06-07 13:39:34,ID4882
Case1,Final Inspection Q.C.,2012-06-14 07:45:34,2012-06-14 08:40:34,ID4618
Case1,Final Inspection Q.C.,2012-06-14 09:10:34,2012-06-14 09:40:34,ID4287
Case1,Packing,2012-06-15 01:00:34,2012-06-15 02:00:34,ID4820
Case1,Final Inspection Q.C.,2012-06-15 14:48:34,2012-06-15 18:38:34,ID4287
Case1,End,2012-06-15 18:38:34.000001,2012-06-15 18:38:34.000001,End
Case2,Start,2012-03-13 01:18:06,2012-03-13 01:18:06,Start
Case2,Turning & Milling,2012-03-13 01:18:06,2012-03-13 02:30:06,ID4429
Case2,End,2012-03-13 02:30:06.000001,2012-03-13 02:30:06.000001,End
Case3,Start,2012-03-13 03:49:37,2012-03-13 03:49:37,Start
Case3,SETUP     Turning & Milling,2012-03-13 03:49:37.000001,2012-03-13 06:10:37.000001,ID4932
Case3,Turning & Milling,2012-03-13 06:44:37.000001,2012-03-13 10:36:37.000001,ID0997
Case3,Turning & Milling,2012-03-13 11:45:37.000001,2012-03-13 15:29:37.000001,ID0997
Case3,Turning & Milling,2012-03-13 22:48:37.000001,2012-03-14 09:19:37.000001,ID0997
Case3,Turning & Milling,2012-03-14 13:02:37.000001,2012-03-14 15:14:37.000001,ID0997
Case3,Turning & Milling,2012-03-14 15:45:37.000001,2012-03-14 17:11:37.000001,ID0997
Case3,Turning & Milling,2012-03-15 01:12:37.000001,2012-03-15 12:03:38.000001,ID0997
Case3,Turning & Milling,2012-03-14 19:43:37.000001,2012-03-15 03:00:37.000001,ID0997
Case3,Turning & Milling Q.C.,2012-03-17 09:46:38.000001,2012-03-17 10:45:38.000001,ID4618
Case3,Packing,2012-03-17 16:44:38.000001,2012-03-17 17:44:38.000001,ID4820
Case3,Final Inspection Q.C.,2012-03-18 02:35:38.000001,2012-03-18 04:25:38.000001,ID4618
Case3,Final Inspection Q.C.,2012-03-18 04:45:38.000001,2012-03-18 05:05:38.000001,ID4618
Case3,Final Inspection Q.C.,2012-03-18 05:45:38.000001,2012-03-18 10:07:38.000001,ID4163
Case3,Laser Marking,2012-03-18 03:52:38.000001,2012-03-18 04:23:38.000001,ID0998
Case3,End,2012-03-18 10:07:38.000002,2012-03-18 10:07:38.000002,End
Case4,Start,2012-03-13 04:13:28,2012-03-13 04:13:28,Start
Case4,Turning,2012-03-13 04:13:28,2012-03-13 05:34:28,ID0997
Case4,Turning,2012-03-13 09:05:28,2012-03-13 17:06:28,ID0997
Case4,Turning Q.C.,2012-03-13 19:32:28,2012-03-13 19:33:28,ID4618
Case4,Flat Grinding,2012-03-20 05:00:28,2012-03-20 05:55:28,ID0998
Case4,Lapping,2012-03-20 05:56:28,2012-03-20 06:41:28,ID0998
Case4,Turning Q.C.,2012-03-27 05:11:28,2012-03-27 08:36:28,ID4618
Case4,Lapping,2012-03-27 11:00:28,2012-03-27 12:15:28,ID0998
Case4,Laser Marking,2012-04-02 15:26:28,2012-04-02 16:06:28,ID0998
Case4,Packing,2012-04-04 01:56:28,2012-04-04 02:56:28,ID4820
Case4,Final Inspection Q.C.,2012-04-04 11:11:28,2012-04-04 12:01:28,ID4618
Case4,End,2012-04-04 12:01:28.000001,2012-04-04 12:01:28.000001,End
Case5,Start,2012-03-13 05:21:58,2012-03-13 05:21:58,Start
Case5,Laser Marking,2012-03-13 05:21:58.000001,2012-03-13 07:06:58.000001,ID0998
Case5,Flat Grinding,2012-03-15 03:27:58.000001,2012-03-15 08:24:58.000001,ID0998
Case5,Flat Grinding,2012-03-15 08:25:58.000001,2012-03-15 15:22:58.000001,ID0998
Case5,Flat Grinding,2012-03-15 23:14:58.000001,2012-03-16 00:29:58.000001,ID4882
Case5,Final Inspection Q.C.,2012-03-16 00:32:58.000001,2012-03-16 01:41:58.000001,ID4287
Case5,Packing,2012-03-16 10:11:58.000001,2012-03-16 11:11:58.000001,ID4820
Case5,Final Inspection Q.C.,2012-03-16 19:11:58.000001,2012-03-16 19:51:58.000001,ID4287
Case5,End,2012-03-16 19:51:58.000002,2012-03-16 19:51:58.000002,End
Case6,Start,2012-03-13 06:12:08,2012-03-13 06:12:08,Start
Case6,Turning & Milling,2012-03-13 06:12:08,2012-03-13 12:12:08,ID4932
