caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 00:57:52,2011-01-01 00:57:52,Create Purchase Requisition
Case1,Create Purchase Requisition,2011-01-01 00:57:52,2011-01-01 01:47:52,Create Purchase Requisition
Case1,Create Request for Quotation,2011-01-01 04:59:52,2011-01-01 05:08:52,Create Request for Quotation
Case1,Analyze Request for Quotation,2011-01-03 12:14:52,2011-01-03 12:50:52,Analyze Request for Quotation
Case1,Send Request for Quotation to Supplier,2011-01-04 05:31:52,2011-01-04 05:59:51,Send Request for Quotation to Supplier
Case1,Create Quotation comparison Map,2011-01-04 06:22:51,2011-01-04 11:10:51,Create Quotation comparison Map
Case1,Analyze Quotation Comparison Map,2011-01-04 17:48:51,2011-01-04 17:59:51,Analyze Quotation Comparison Map
Case1,Choose best option,2011-01-04 17:59:51,2011-01-04 17:59:51,Choose best option
Case1,Settle Conditions With Supplier,2011-01-04 21:00:51,2011-01-05 01:41:51,Settle Conditions With Supplier
Case1,Create Purchase Order,2011-01-05 14:10:51,2011-01-05 14:17:51,Create Purchase Order
Case1,Confirm Purchase Order,2011-01-08 18:52:51,2011-01-08 19:07:51,Confirm Purchase Order
Case1,Deliver Goods Services,2011-01-23 19:52:51,2011-01-24 02:07:51,Deliver Goods Services
Case1,Release Purchase Order,2011-01-24 09:26:51,2011-01-24 09:27:51,Release Purchase Order
Case1,Approve Purchase Order for payment,2011-01-25 01:41:51,2011-01-25 01:42:51,Approve Purchase Order for payment
Case1,Send Invoice,2011-01-26 16:54:51,2011-01-26 16:54:51,Send Invoice
Case1,Release Supplier's Invoice,2011-01-27 07:03:51,2011-01-27 07:08:51,Release Supplier's Invoice
Case1,Authorize Supplier's Invoice payment,2011-01-27 07:08:51,2011-01-27 07:08:51,Authorize Supplier's Invoice payment
Case1,Pay Invoice,2011-01-27 08:00:51,2011-01-27 08:13:51,Pay Invoice
Case1,End,2011-01-27 08:13:51,2011-01-27 08:13:51,End
Case2,Start,2011-01-01 11:17:36,2011-01-01 11:17:36,Create Purchase Requisition
Case2,Create Purchase Requisition,2011-01-01 11:17:36,2011-01-01 11:34:36,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-01-02 00:29:36,2011-01-02 00:36:36,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-01-02 00:41:36,2011-01-02 00:43:36,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-01-02 06:29:36,2011-01-02 06:39:36,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-01-02 19:46:36,2011-01-02 19:58:36,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-01-03 08:25:36,2011-01-03 10:59:36,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-01-03 17:27:36,2011-01-03 17:34:36,Analyze Quotation Comparison Map
Case2,Choose best option,2011-01-03 17:34:36,2011-01-03 17:34:36,Choose best option
Case2,Settle Conditions With Supplier,2011-01-04 10:52:36,2011-01-04 14:51:36,Settle Conditions With Supplier
Case2,Create Purchase Order,2011-01-05 02:04:36,2011-01-05 02:16:36,Create Purchase Order
Case2,Confirm Purchase Order,2011-01-24 22:06:36,2011-01-24 22:12:36,Confirm Purchase Order
Case2,Deliver Goods Services,2011-01-28 08:26:36,2011-01-28 17:22:36,Deliver Goods Services
Case2,Release Purchase Order,2011-01-29 01:11:36,2011-01-29 01:12:36,Release Purchase Order
Case2,Approve Purchase Order for payment,2011-01-30 07:13:36,2011-01-30 07:14:36,Approve Purchase Order for payment
Case2,Send Invoice,2011-02-02 10:53:36,2011-02-02 10:53:36,Send Invoice
Case2,Release Supplier's Invoice,2011-02-03 01:15:36,2011-02-03 01:18:36,Release Supplier's Invoice
Case2,Authorize Supplier's Invoice payment,2011-02-03 01:19:36,2011-02-03 01:19:36,Authorize Supplier's Invoice payment
Case2,Pay Invoice,2011-02-03 01:59:36,2011-02-03 02:04:36,Pay Invoice
Case2,End,2011-02-03 02:04:36,2011-02-03 02:04:36,End
Case3,Start,2011-01-06 04:58:18,2011-01-06 04:58:18,Create Purchase Requisition
Case3,Create Purchase Requisition,2011-01-06 04:58:18,2011-01-06 05:43:18,Create Purchase Requisition
Case3,Analyze Purchase Requisition,2011-01-06 16:27:18,2011-01-06 16:34:18,Analyze Purchase Requisition
Case3,Create Request for Quotation,2011-01-06 16:38:18,2011-01-06 16:40:18,Create Request for Quotation
Case3,Analyze Request for Quotation,2011-01-10 07:19:18,2011-01-10 07:32:18,Analyze Request for Quotation
Case3,Amend Request for Quotation,2011-01-10 08:27:18,2011-01-10 08:41:18,Amend Request for Quotation
Case3,Analyze Request for Quotation,2011-01-11 15:10:18,2011-01-11 15:15:18,Analyze Request for Quotation
Case3,Amend Request for Quotation,2011-01-11 16:16:18,2011-01-11 16:21:18,Amend Request for Quotation
Case3,Analyze Request for Quotation,2011-01-11 17:52:18,2011-01-11 17:58:18,Analyze Request for Quotation
Case3,Amend Request for Quotation,2011-01-11 18:58:18,2011-01-11 19:13:18,Amend Request for Quotation
Case3,Analyze Request for Quotation,2011-01-11 22:35:18,2011-01-11 23:12:18,Analyze Request for Quotation
Case3,Amend Request for Quotation,2011-01-12 00:01:18,2011-01-12 00:10:18,Amend Request for Quotation
