caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-01-02 07:54:23,2012-01-02 07:54:23,Turning
Case1,Turning,2012-01-02 07:54:23,2012-01-02 09:23:23,Turning
Case1,Turning,2012-01-02 10:00:23,2012-01-02 11:02:23,Turning
Case1,Turning,2012-01-02 11:02:23,2012-01-02 11:27:23,Turning
Case1,Turning Q.C.,2012-01-03 01:21:23,2012-01-03 02:21:23,Turning Q.C.
Case1,Lapping,2012-01-03 04:45:23,2012-01-03 06:09:23,Lapping
Case1,Lapping,2012-01-03 15:16:23,2012-01-03 16:47:23,Lapping
Case1,Round Grinding,2012-01-03 16:47:23,2012-01-03 19:11:23,Round Grinding
Case1,Round Grinding,2012-01-03 19:11:23,2012-01-03 19:14:23,Round Grinding
Case1,Laser Marking,2012-01-10 02:18:23,2012-01-10 03:03:23,Laser Marking
Case1,Final Inspection Q.C.,2012-01-13 22:39:23,2012-01-14 02:02:23,Final Inspection Q.C.
Case1,Final Inspection Q.C.,2012-01-14 19:30:23,2012-01-14 20:01:23,Final Inspection Q.C.
Case1,Packing,2012-01-15 04:06:23,2012-01-15 05:06:23,Packing
Case1,End,2012-01-15 05:06:23,2012-01-15 05:06:23,End
Case2,Start,2012-01-02 08:21:15,2012-01-02 08:21:15,Turning & Milling
Case2,Turning & Milling,2012-01-02 08:21:15,2012-01-02 16:03:15,Turning & Milling
Case2,Turning & Milling,2012-01-02 16:03:15,2012-01-03 00:27:15,Turning & Milling
Case2,Turning & Milling,2012-01-03 02:33:15,2012-01-03 08:54:15,Turning & Milling
Case2,Turning & Milling,2012-01-03 19:49:15,2012-01-03 23:41:15,Turning & Milling
Case2,Turning & Milling,2012-01-03 23:42:15,2012-01-04 05:00:15,Turning & Milling
Case2,Turning & Milling,2012-01-04 09:28:15,2012-01-04 18:28:15,Turning & Milling
Case2,Turning & Milling Q.C.,2012-01-04 18:58:15,2012-01-04 20:59:15,Turning & Milling Q.C.
Case2,Laser Marking,2012-01-10 20:00:15,2012-01-10 20:01:15,Laser Marking
Case2,Flat Grinding,2012-01-10 20:19:15,2012-01-10 20:41:15,Flat Grinding
Case2,Turning & Milling Q.C.,2012-01-11 17:37:15,2012-01-11 20:32:15,Turning & Milling Q.C.
Case2,Turning & Milling,2012-01-11 21:00:15,2012-01-11 21:05:15,Turning & Milling
Case2,Lapping,2012-01-10 20:01:15,2012-01-10 20:41:15,Lapping
Case2,Lapping,2012-01-26 00:15:15,2012-01-26 01:30:15,Lapping
Case2,Lapping,2012-01-26 16:43:34.666666666,2012-01-26 18:43:54.666666666,Lapping
Case2,Grinding Rework,2012-01-27 00:05:54.666666666,2012-01-27 02:36:54.666666666,Grinding Rework
Case2,Lapping,2012-01-26 18:44:54.666666666,2012-01-27 00:06:54.666666666,Lapping
Case2,Round Grinding,2012-01-28 05:28:54.666666666,2012-01-28 06:34:54.666666666,Round Grinding
Case2,Round Grinding,2012-01-28 06:34:54.666666666,2012-01-28 13:31:54.666666666,Round Grinding
