caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-06-06 00:28:43,2011-06-06 00:28:43,Create Purchase Requisition
Case1,Create Purchase Requisition,2011-06-06 00:28:43.000001,2011-06-06 00:52:43.000001,Create Purchase Requisition
Case1,Analyze Purchase Requisition,2011-06-06 20:14:43.000001,2011-06-06 20:18:43.000001,Analyze Purchase Requisition
Case1,End,2011-06-06 20:18:43.000002,2011-06-06 20:18:43.000002,End
Case2,Start,2011-06-06 01:11:19,2011-06-06 01:11:19,Create Purchase Requisition
Case2,Create Purchase Requisition,2011-06-06 01:11:19.000001,2011-06-06 01:20:19.000001,Create Purchase Requisition
Case2,Analyze Purchase Requisition,2011-06-07 00:58:19.000001,2011-06-07 01:07:19.000001,Analyze Purchase Requisition
Case2,Create Request for Quotation,2011-06-07 01:11:19.000001,2011-06-07 01:14:19.000001,Create Request for Quotation
Case2,Analyze Request for Quotation,2011-06-07 02:08:19.000001,2011-06-07 02:22:19.000001,Analyze Request for Quotation
Case2,Send Request for Quotation to Supplier,2011-06-09 01:14:19.000001,2011-06-09 01:37:19.000001,Send Request for Quotation to Supplier
Case2,Create Quotation comparison Map,2011-06-09 02:03:19.000001,2011-06-09 03:19:19.000001,Create Quotation comparison Map
Case2,Analyze Quotation Comparison Map,2011-06-09 09:59:19.000001,2011-06-09 10:13:19.000001,Analyze Quotation Comparison Map
Case2,Choose best option,2011-06-09 10:13:19.000001,2011-06-09 10:13:19.000001,Choose best option
Case2,Settle Conditions With Supplier,2011-06-09 13:04:19.000001,2011-06-09 17:33:19.000001,Settle Conditions With Supplier
Case2,Create Purchase Order,2011-06-09 22:46:19.000001,2011-06-09 22:53:19.000001,Create Purchase Order
Case2,Confirm Purchase Order,2011-06-10 07:25:19.000001,2011-06-10 07:53:19.000001,Confirm Purchase Order
Case2,Deliver Goods Services,2011-06-13 00:19:19.000001,2011-06-14 20:15:19.000001,Deliver Goods Services
Case2,Release Purchase Order,2011-06-15 03:26:19.000001,2011-06-15 03:27:19.000001,Release Purchase Order
Case2,Approve Purchase Order for payment,2011-06-15 14:05:19.000001,2011-06-15 14:06:19.000001,Approve Purchase Order for payment
Case2,Send Invoice,2011-06-17 02:42:19.000001,2011-06-17 02:42:19.000001,Send Invoice
Case2,Release Supplier's Invoice,2011-06-17 17:11:19.000001,2011-06-17 17:17:19.000001,Release Supplier's Invoice
Case2,Authorize Supplier's Invoice payment,2011-06-17 17:17:19.000001,2011-06-17 17:17:19.000001,Authorize Supplier's Invoice payment
Case2,Pay Invoice,2011-06-17 17:44:19.000001,2011-06-17 17:49:19.000001,Pay Invoice
Case2,End,2011-06-17 17:49:19.000002,2011-06-17 17:49:19.000002,End
Case3,Start,2011-06-06 04:01:20,2011-06-06 04:01:20,Create Purchase Requisition
Case3,Create Purchase Requisition,2011-06-06 04:01:20.000001,2011-06-06 04:32:20.000001,Create Purchase Requisition
Case3,Create Request for Quotation,2011-06-06 07:15:20.000001,2011-06-06 07:22:20.000001,Create Request for Quotation
Case3,Analyze Request for Quotation,2011-06-07 16:25:20.000001,2011-06-07 16:45:21.000001,Analyze Request for Quotation
Case3,Send Request for Quotation to Supplier,2011-06-09 04:03:21.000001,2011-06-09 04:27:21.000001,Send Request for Quotation to Supplier
Case3,Create Quotation comparison Map,2011-06-09 13:51:21.000001,2011-06-09 17:25:21.000001,Create Quotation comparison Map
Case3,Analyze Quotation Comparison Map,2011-06-09 23:56:21.000001,2011-06-10 00:28:21.000001,Analyze Quotation Comparison Map
Case3,Choose best option,2011-06-10 00:28:21.000001,2011-06-10 00:28:21.000001,Choose best option
Case3,Settle Conditions With Supplier,2011-06-10 03:27:21.000001,2011-06-10 17:16:21.000001,Settle Conditions With Supplier
Case3,Create Purchase Order,2011-06-11 10:16:21.000001,2011-06-11 10:27:21.000001,Create Purchase Order
Case3,Confirm Purchase Order,2011-06-11 14:22:21.000001,2011-06-11 14:33:21.000001,Confirm Purchase Order
Case3,Deliver Goods Services,2011-06-12 21:50:21.000001,2011-06-13 21:17:21.000001,Deliver Goods Services
Case3,Release Purchase Order,2011-06-14 04:29:21.000001,2011-06-14 04:30:21.000001,Release Purchase Order
Case3,Approve Purchase Order for payment,2011-06-15 00:37:21.000001,2011-06-15 00:38:21.000001,Approve Purchase Order for payment
Case3,Send Invoice,2011-06-17 04:42:21.000001,2011-06-17 04:42:21.000001,Send Invoice
Case3,Release Supplier's Invoice,2011-06-17 19:06:21.000001,2011-06-17 19:13:21.000001,Release Supplier's Invoice
Case3,Settle Dispute With Supplier,2011-06-17 19:51:21.000001,2011-06-17 20:16:21.000001,Settle Dispute With Supplier
Case3,Authorize Supplier's Invoice payment,2011-06-17 20:16:21.000001,2011-06-17 20:16:21.000001,Authorize Supplier's Invoice payment
Case3,Pay Invoice,2011-06-17 20:54:21.000001,2011-06-17 21:01:21.000001,Pay Invoice
Case3,End,2011-06-17 21:01:21.000002,2011-06-17 21:01:21.000002,End
Case4,Start,2011-06-06 04:42:21,2011-06-06 04:42:21,Create Purchase Requisition
Case4,Create Purchase Requisition,2011-06-06 04:42:21.000001,2011-06-06 04:58:21.000001,Create Purchase Requisition
Case4,Create Request for Quotation,2011-06-06 11:00:21.000001,2011-06-06 11:11:21.000001,Create Request for Quotation
Case4,Analyze Request for Quotation,2011-06-12 05:58:21.000001,2011-06-12 06:10:21.000001,Analyze Request for Quotation
Case4,End,2011-06-12 06:10:21.000002,2011-06-12 06:10:21.000002,End
Case5,Start,2011-06-06 06:12:35,2011-06-06 06:12:35,Create Purchase Requisition
Case5,Create Purchase Requisition,2011-06-06 06:12:35.000001,2011-06-06 06:42:35.000001,Create Purchase Requisition
Case5,Analyze Purchase Requisition,2011-06-06 18:44:35.000001,2011-06-06 18:52:35.000001,Analyze Purchase Requisition
Case5,Create Request for Quotation,2011-06-06 18:59:35.000001,2011-06-06 19:01:35.000001,Create Request for Quotation
Case5,Analyze Request for Quotation,2011-06-09 02:29:35.000001,2011-06-09 02:45:35.000001,Analyze Request for Quotation
Case5,Amend Request for Quotation,2011-06-09 03:27:35.000001,2011-06-09 03:37:35.000001,Amend Request for Quotation
Case5,Analyze Request for Quotation,2011-07-21 14:32:35.000001,2011-07-21 15:22:35.000001,Analyze Request for Quotation
Case5,Send Request for Quotation to Supplier,2011-07-22 03:42:35.000001,2011-07-22 03:58:35.000001,Send Request for Quotation to Supplier
Case5,Create Quotation comparison Map,2011-07-22 10:46:35.000001,2011-07-22 11:34:35.000001,Create Quotation comparison Map
Case5,Analyze Quotation Comparison Map,2011-07-22 18:06:35.000001,2011-07-22 18:28:35.000001,Analyze Quotation Comparison Map
Case5,Choose best option,2011-07-22 18:28:35.000001,2011-07-22 18:28:35.000001,Choose best option
Case5,Settle Conditions With Supplier,2011-07-23 06:55:35.000001,2011-07-23 10:58:35.000001,Settle Conditions With Supplier
Case5,Create Purchase Order,2011-07-24 03:03:35.000001,2011-07-24 03:11:35.000001,Create Purchase Order
Case5,Confirm Purchase Order,2011-07-24 09:15:35.000001,2011-07-24 09:20:35.000001,Confirm Purchase Order
Case5,Deliver Goods Services,2011-07-24 18:10:35.000001,2011-07-26 05:48:35.000001,Deliver Goods Services
Case5,Release Purchase Order,2011-07-26 13:47:35.000001,2011-07-26 13:48:35.000001,Release Purchase Order
Case5,Approve Purchase Order for payment,2011-07-26 23:05:35.000001,2011-07-26 23:06:35.000001,Approve Purchase Order for payment
Case5,Send Invoice,2011-07-29 06:09:35.000001,2011-07-29 06:09:35.000001,Send Invoice
Case5,Release Supplier's Invoice,2011-07-29 20:22:35.000001,2011-07-29 20:26:35.000001,Release Supplier's Invoice
Case5,Authorize Supplier's Invoice payment,2011-07-29 20:26:35.000001,2011-07-29 20:26:35.000001,Authorize Supplier's Invoice payment
Case5,Pay Invoice,2011-07-29 21:23:35.000001,2011-07-29 21:36:35.000001,Pay Invoice
Case5,End,2011-07-29 21:36:35.000002,2011-07-29 21:36:35.000002,End
Case6,Start,2011-06-06 07:23:51,2011-06-06 07:23:51,Create Purchase Requisition
Case6,Create Purchase Requisition,2011-06-06 07:23:51.000001,2011-06-06 07:46:50.000001,Create Purchase Requisition
Case6,Create Request for Quotation,2011-06-06 15:20:50.000001,2011-06-06 15:30:50.000001,Create Request for Quotation
Case6,Analyze Request for Quotation,2011-06-07 09:22:50.000001,2011-06-07 09:55:50.000001,Analyze Request for Quotation
Case6,End,2011-06-07 09:55:50.000002,2011-06-07 09:55:50.000002,End
Case7,Start,2011-06-06 09:52:48,2011-06-06 09:52:48,Create Purchase Requisition
Case7,Create Purchase Requisition,2011-06-06 09:52:48.000001,2011-06-06 10:47:48.000001,Create Purchase Requisition
